,genre_list
622,patriotic
623,southern_rock
624,spoken_word
625,truck_driving_country
626,modern_soul
627,doo_wop
628,neo_psychedelic
629,music_of_hawaiian
630,nu_jazz
631,space_rock
632,no_wave
633,stage_musical
634,medieval
635,trip_hop
636,filin
637,dark_rock
638,moombahton
639,asian_underground
640,indie_pop
641,alternative_dance
642,flamenco
643,french_contemporary_chanson
644,pop_punk
645,deathcore
646,hindustani_classical
647,old_skool
648,berber
649,liturgy
650,cowpunk
651,west_coast_jazz
652,nueva_trova
653,noise_pop
654,art_punk
655,political_hip_hop
656,country_pop
657,progressive_rock
658,standards
659,goth
660,electric
661,sacred_steel
662,hardcore_punk
663,hill_country_blues
664,improvisational_comedy
665,uk_funky
666,candombe
667,middle_eastern
668,contemporary_classical
669,aor
670,torch_song
671,progressive_metal
672,speed_metal
673,classic_rock
674,battle_rap
675,pacific_pacific_northwest_hip_hop
676,cabaret
677,2_tone
678,electro_house
679,glitch
680,techno
681,soundtrack
682,mento
683,dubstep
684,soul_jazz
685,celtic_folk
686,western_classical
687,light_opera
688,emo
689,shred
690,dancehall
691,cuban_trova
692,italian
693,swamp
694,celtic_metal
695,italian_folk
696,musique_concrete
697,freestyle
698,indie_dance
699,celtic_pop
700,payada
701,texas_blues
702,frat_rock
703,kanto
704,avant_garde_rock
705,greek_folk
706,theme
707,european_art
708,bollywood
709,old_time
710,trailer
711,comedy
712,electro_punk
713,west_end
714,rave_hop
715,death_doom
716,brown_eyed_soul
717,ill+hop
718,folk_art_rock
719,record_producer
720,jazz_flamenco
721,experimental_acoustic
722,roots_pop
723,swamp_blues
724,chamber_folk
725,musical_comedy
726,garage
727,farce
728,bedroom_pop
729,traditional_pop
730,thrashcore
731,spiritual
732,drum&bass
733,contemporary_art
734,blackgaze
735,bulgarian_folklorica
736,melodic_death_metal
737,canadian_blues
738,wellness
739,aboriginal_country
740,hip_hop_in_the_pacific_northwest
741,ladino
742,rock_country
743,indigenous
744,pop
745,punk_blues
746,variety
747,avant_garde_metal
748,afro_pop
749,rap_rock
750,jazz_classical
751,painting
752,compas
753,quiet_storm
754,screwed_&_chopped
755,vals
756,classic_blues
757,screamo
758,mexican_cumbia
759,zydeco
760,son_cubano
761,christian_country
762,latin_rock
763,nightcore
764,international
765,hardcore
766,tex_mex
767,hyphy
768,electro_folk
769,death_rock
770,improvisational
771,big_room_house
772,glo_fi
773,2_step
774,sadcore
775,soft_rock
776,inspirational_country
777,oriental
778,gypsy_jazz
779,worship
780,television
781,east_coast_rap
782,ranchera
783,praise&worship
784,pop_country
785,persian_traditional
786,gulf_and_western
787,ac
788,world_beat
789,wonky
790,mandopop
791,persian_pop
792,gothic_folk
793,classic_country
794,process
795,french_rock
796,old_time_radio
797,nashville_sound
798,canción_ranchera
799,italian_popular
800,american_roots
801,slide_guitar
802,hispanic_folk
803,classical
804,medieval_folk_rock
805,inspirational
806,manguebeat
807,pop_contemporary_opera
808,jewish_liturgy
809,instrumental_rock
810,white_power_rock
811,honky_tonk
812,digital_hardcore
813,salsa
