label,frequency,female,male,female%,male%,max_list_length,min_list_length,mean_list_length
jazz_fusion,122,11.0,111.0,0.09016393442622951,0.9098360655737705,45.0,2.0,4.737704918032787
experimental_rock,122,14.0,108.0,0.11475409836065574,0.8852459016393442,15.0,1.0,5.0
alternative,120,58.0,62.0,0.48333333333333334,0.5166666666666667,11.0,1.0,3.575
pop_punk,118,25.0,93.0,0.211864406779661,0.788135593220339,10.0,1.0,4.52542372881356
power_pop,115,17.0,98.0,0.14782608695652175,0.8521739130434782,10.0,1.0,3.973913043478261
art_rock,113,20.0,93.0,0.17699115044247787,0.8230088495575221,73.0,2.0,5.407079646017699
indie_folk,102,38.0,64.0,0.37254901960784315,0.6274509803921569,12.0,1.0,3.6470588235294117
blue_eyed_soul,99,19.0,80.0,0.1919191919191919,0.8080808080808081,73.0,1.0,5.0606060606060606
traditional_pop,98,52.0,46.0,0.5306122448979592,0.46938775510204084,8.0,1.0,3.0816326530612246
contemporary_christian,98,36.0,62.0,0.3673469387755102,0.6326530612244898,10.0,1.0,2.561224489795918
indie,98,42.0,56.0,0.42857142857142855,0.5714285714285714,8.0,1.0,3.3469387755102042
thrash_metal,98,3.0,95.0,0.030612244897959183,0.9693877551020408,12.0,1.0,4.377551020408164
contemporary,96,52.0,44.0,0.5416666666666666,0.4583333333333333,11.0,1.0,4.0
southern_rock,90,5.0,85.0,0.05555555555555555,0.9444444444444444,10.0,1.0,3.9444444444444446
progressive_metal,87,2.0,85.0,0.022988505747126436,0.9770114942528736,9.0,1.0,4.264367816091954
post_hardcore,87,1.0,86.0,0.011494252873563218,0.9885057471264368,10.0,1.0,4.839080459770115
glam_metal,85,6.0,79.0,0.07058823529411765,0.9294117647058824,15.0,1.0,3.6588235294117646
singer_songwriter,83,33.0,50.0,0.39759036144578314,0.6024096385542169,12.0,1.0,3.5060240963855422
nu_metal,82,5.0,77.0,0.06097560975609756,0.9390243902439024,15.0,2.0,5.2926829268292686
swing,80,17.0,63.0,0.2125,0.7875,45.0,2.0,4.225
alternative_hip_hop,78,5.0,73.0,0.0641025641025641,0.9358974358974359,8.0,1.0,3.128205128205128
country_blues,77,10.0,67.0,0.12987012987012986,0.8701298701298701,8.0,1.0,2.844155844155844
christian,76,25.0,51.0,0.32894736842105265,0.6710526315789473,12.0,1.0,2.776315789473684
chicago_blues,75,5.0,70.0,0.06666666666666667,0.9333333333333333,6.0,1.0,2.453333333333333
country_pop,74,40.0,34.0,0.5405405405405406,0.4594594594594595,9.0,1.0,2.9864864864864864
neo_soul,73,39.0,34.0,0.5342465753424658,0.4657534246575342,12.0,1.0,4.602739726027397
