,genre_list
815,pop_rock_dance
816,breakstep
817,surreal_humor
818,folktronica
819,jazz_music
820,anison
821,gothic
822,hillbilly
823,asian_underground
824,rock-n-roll
825,country
826,extreme_metal
827,singer-songwriter
828,glo-fi
829,andalusian
830,industrial_country
831,latin_hip_hop
832,deep_house
833,rock_music
834,country_·_americana_·_folk_·_singer_songwriter
835,rock_opera
836,new_wave_music
837,roots_rock
838,doom_metal
839,boogie
840,painting
841,adult_album_alternative
842,christian_hip_hop
843,nashville_sound
844,barbershop
845,world_beat
846,industrial_black_metal
847,minneapolis_sound
848,lyrical_pop
849,surf_rock
850,traditional_folk
851,dance-pop
852,contemporary_christian
853,arena_rock
854,expressionist
855,nueva_cancion_chilena
856,hardcore_rap
857,bachata
858,pop_culture
859,rock_and_roll
860,island_contemporary
861,progressive_rock
862,comedy_pop
863,rock_improvisation
864,world_music
865,christmas_music
866,industrial
867,electro_house
868,punkrock
869,female_vocalists
870,aboriginal_country
871,noise_music
872,cuban_trova
873,hip_hop_soul
874,pop_dance
875,r&g
876,new_prog
877,fingerstyle
878,persian_pop
879,big_beat
880,swing_revival
881,straight_edge
882,berber_music
883,songwriter
884,electric_violin
885,folk_punk
886,operatic_pop
887,medieval_folk_rock
888,orchestral_pop
889,geek_rock
890,philly_soul
891,classic_rock
892,chamber_folk
893,performance_art
894,alternative_metal
895,uk_garage
896,ballads_and_rock_&_roll
897,trap_metal
898,d-beat
899,latin_trap
900,appalachian_music
901,neotraditional
902,electro-punk
903,texas_country_music
904,adult-oriented_rock
905,cpop
906,pop_alternative
907,cowboy
908,instrumental
909,naat
910,popcomédie_musicale
911,soul_rock
912,afro-celtic
913,punk_rap
914,hard_bop
915,raï
916,rap_metal
917,freestyling
918,hardcore_hip_hop
919,american_primitive_guitar
920,english_folk_music
921,soulful_house
922,swing
923,vallenato
924,rock_ballad
925,hawaiian_music
926,proto-surf_rock
927,easy_listening
928,*
929,nu-pop
930,new_wave
931,piano_pop
932,bass_guitar
933,praise_&
934,mexican_cumbia
935,african_american_music
936,stage_musical
937,darkwave
938,contemporary_jewish_religious_music
939,vaudevillian
940,experimental_acoustic
941,progressive_pub
942,funk_blues
943,rebetiko
944,comedy_song
945,instrumental_metal
946,reggae_fusion
947,torch_songs
948,american_roots_music
949,folk_metal
950,vocal_jazz
951,progressive_bluegrass
952,ethnic_fusion
953,drone_metal
954,digital_hardcore
955,soundtrack
956,medieval
957,funky_house
958,euthadisco
959,ccm
960,bubblegum_rock
961,political
962,celtic_music
963,funk_metal
964,post-disco
965,psychedelic_rock
966,punk_blues
967,country-rock
968,country_and_western_music
969,glam_punk
970,funktronica
971,-ninja-core
972,british_hip_hop
973,protest
974,french_variété
975,latin_jazz
976,laïko
977,musical
978,mpb
979,novelty_music
980,gypsy
981,traditional_tunes
982,chamber_jazz
983,traditional
984,indie_punk
985,downbeat
986,musical_theater
987,soul_pop
988,dark_pop
989,folk-rock
990,britfunk
991,italo_dance
992,hokum
993,persian_pop_music
994,professional_wrestling_theme_music
995,sports_music
996,big_room_house
997,second_line
998,romantic_music
999,lounge_music
1000,pop_singer
1001,chopped_and_screwed
1002,pop_opera
1003,acoustic_music
1004,old_school_rap
1005,baroque_pop
1006,louisiana_folk
1007,electro_funk
1008,hip
1009,british_soul
1010,blue_eyed_soul
1011,singer–songwriter
1012,nueva_trova
1013,classical_guitar_music
1014,fingerstyle_acoustic
1015,country_music
1016,r&b
1017,old-school_hip_hop
1018,ghost_rock
1019,chamber_pop
1020,beat_pop
1021,jazz-funk
1022,avant-garde_progressive_rock
1023,fingerstyle_guitar
1024,piano
1025,anarcho_punk
1026,disco_house
1027,pop_hip-hop
1028,christian_new_age
1029,hip_house
1030,pacific_northwest_hip_hop
1031,j-pop
1032,talking_blues
1033,contemporary_country
1034,spirituals
1035,americana_music_folk_song
1036,klezmer
1037,indi_pop
1038,melodic_metal
1039,coupé-décalé
1040,loop_music
1041,eurobeat
1042,native_american
1043,pop_blues
1044,neo-progressive_rock
1045,progressive_music
1046,crust_punk
1047,snap
1048,cloud_rap
1049,classical_crossover
1050,electro-folk
1051,ebm
1052,indie-pop
1053,acoustic_folk
1054,krautrock
1055,trance
1056,independent
1057,boleros
1058,ameritopia
1059,film_scores
1060,ambient
1061,ragga
1062,club
1063,vocalist
1064,documentary
1065,electropop
1066,punk_music
1067,english
1068,yé-yé
1069,hardcore\\xa0punk
1070,hard-bop
1071,video
1072,palingsound
1073,reggae_rock
1074,traditional_pop_music
1075,neo_soul
1076,ladino
1077,citation_needed
1078,rock_and_roll_americana_rhythm_and_blues_alternative
1079,lo-fi
1080,multilingual
1081,mellow_&_acoustic_rock
1082,western_movies
1083,pop_contemporary_opera
1084,jazz_blues
1085,patriotic_rock
1086,gothic_country
1087,musica_popular_brasileira
1088,christian_edm
1089,christian_pop
1090,southern_hip_hop
1091,turkish_music
1092,trop_rock
1093,avantgarde
1094,christian_alternative_rock
1095,theme_song
1096,chamber_music
1097,alternative_r&b
1098,nueva_ola
1099,west_coast
1100,post-dubstep
1101,electro-house
1102,folk-jazz
1103,glam_rock
1104,irish_traditional
1105,modern_laika
1106,hard_rock
1107,transcendental_pop
1108,new_acoustic
1109,folk_baroque
1110,liturgy
1111,soviet_music
1112,desert_rock
1113,tuvan_throat_singing
1114,christmas
1115,britpop
1116,acid_folk
1117,thrash_metal
1118,gospel_blues
1119,russian_chanson
1120,ambient_music
1121,swing_music
1122,electro-pop
1123,reggae_cultural_influence
1124,electronica
1125,yoiking
1126,fado
1127,bhangra
1128,totalism
1129,freakbeat
1130,neo-prog
1131,british_rock
1132,tech_house
1133,latin_house
1134,sephardic
1135,opera_&_musical_theatre
1136,pop-punk
1137,hip_hop
1138,symphonic_metal
1139,celtic_and_americana
1140,folk_rock
1141,french_variety_songs
1142,r’n’b
1143,nwobhm
1144,blackened_death_metal
1145,music-jewish_liturgy
1146,classical_hindi
1147,rave-hop
1148,show_tunes
1149,moody
1150,new-age
1151,italian_folk
1152,brazilian_music
1153,kan_ha_diskan
1154,middle_eastern_music
1155,television
1156,avant-garde_metal
1157,post-metal
1158,ska_punk
1159,gwerz
1160,ska_jazz
1161,show_tune
1162,alt
1163,honky-tonk
1164,english_beat
1165,post-britpop
1166,beat
1167,dark_ambient
1168,post_punk
1169,country_blues
1170,new_orleans
1171,instrumental_music
1172,alternative_rock_garage_rock
1173,college\\xa0rock
1174,latin_american
1175,synth-punk
1176,trip_hop
1177,traditional_songs
1178,filin
1179,avant-garde_rap
1180,blackgaze
1181,criolla
1182,symphonic_power_metal
1183,country_rap
1184,electro_hop
1185,alt-pop
1186,deep_soul
1187,midwest_emo
1188,progressive_pop
1189,alternative
1190,classical_pop
1191,alt_country
1192,instrumental_synth
1193,new_flamenco
1194,inspirational
1195,australian_country
1196,texas_country
1197,art_metal
1198,nerdcore_hip_hop
1199,experimental_pop
1200,contemporary_catholic_liturgical
1201,nu_metal
1202,hispanic_folk
1203,nostalgia
1204,art_rock
1205,synthpunk
1206,traditional_pop
1207,baggy
1208,musique_concréte
1209,pop_jazz
1210,new_york_hip_hop
1211,novelty
1212,deep_funk
1213,emo
1214,space_rock
1215,recording_engineer
1216,medieval_music
1217,ska-punk
1218,hard_core
1219,rock_pop
1220,israeli
1221,joik
1222,electronic_music
1223,acoustic_rock_folk_rock
1224,share
1225,political_hip-hop
1226,contemporary_gospel
1227,vọng_cổ
1228,microtonal_music
1229,french_pop_music
1230,rap_rock
1231,synth-pop
1232,opera
1233,harmony_pop
1234,hawaii
1235,horrorcore
1236,synthpop
1237,monster_rock
1238,post-punk
1239,aor
1240,childrens_country_music
1241,swamp_pop
1242,indie_dance
1243,traditional_popular_music
1244,soul_blues
1245,popera
1246,celtic_metal
1247,kindie_rock
1248,truck-driving_country
1249,ambient_folk
1250,techno
1251,axé
1252,symphonic_rock
1253,neo-classical_jazz
1254,rocknroll
1255,art-pop
1256,kansas_city_jazz
1257,ambient_country
1258,great_american_songbook
1259,backing_singer
1260,opm
1261,chamamé
1262,rock_classical
1263,guitarist
1264,persian_classical
1265,new_age
1266,jazz_rock
1267,australian_rock
1268,chicago_blues
1269,technical_metal
1270,sitcom_satire
1271,choro
1272,soft_rock
1273,rhythm_&_blues
1274,avant-rock
1275,acapella
1276,vocal_music
1277,post-punk_revival
1278,jimi_hendrix_tribute
1279,caribbean_calypso
1280,western
1281,lo-fi_rap
1282,powerviolence
1283,ragtime
1284,art_pop
1285,puerto_rican_folk_music
1286,punjabi_folk
1287,dark_cabaret
1288,urban_folk
1289,classical_guitar
1290,mandarin_pop
1291,memphis_blues
1292,harmonica_blues
1293,expressionism
1294,emo_pop
1295,psychedelic_soul
1296,maritime
1297,topical_songwriting
1298,asian_fusion_music
1299,mexican_folk
1300,trance-blues_r&b
1301,french_rock
1302,urban_contemporary_gospel
1303,blues_and_roots
1304,son_montuno
1305,alt-metal
1306,southern_soul
1307,melodic_metalcore
1308,poetry
1309,hardcore_punk
1310,middle_of_the_road
1311,creole
1312,black_rock
1313,emo_rap
1314,math_rock
1315,alternative_jazz
1316,nightcore
1317,popular_music
1318,dance_music
1319,latin_ballad
1320,musique_concrète
1321,celticana_-_a_blend_of_rock
1322,rock_celtic_blues
1323,paisley_underground
1324,western_classical
1325,heavy_metal
1326,french_pop
1327,comedy_music
1328,pop-rock
1329,down_tempo
1330,new_orleans_blues
1331,art_punk
1332,light_music
1333,rhythm_and_blues
1334,mashup
1335,cumbia
1336,choral
1337,observational_comedy
1338,pop_soul
1339,glam_noir
1340,piano_blues
1341,afrobeat
1342,drone_doom
1343,mardi_gras_indian
1344,noise_pop
1345,character_comedy
1346,tribute_music
1347,acoustic_pop
1348,post-bop
1349,nursery_rhymes
1350,traditional_jewish_music
1351,atlanta_hip_hop
1352,shred
1353,2-tone
1354,orgasmic_r&b
1355,honky_tonk_music
1356,oldtime
1357,blues_soul
1358,contemporary_blues
1359,hardstyle
1360,film_score
