,0
bulgarian_folklorica,1
persian,1
cinematic,1
rock_celtic_blues,1
stage_musical,1
british_rock,1
philly_soul,1
glam_noir,1
classical_hindi,1
east_coast_rap,1
hawaiianan_falsetto,1
urbano,1
electronic_r_and_b,1
acid_rap,1
music_of_colombia,1
instrumental_hip_hop,1
rockney,1
future_house,1
contemporary_catholic_liturgical,1
second_line,1
kadans,1
black_gospel,1
neoclassical_dark_wave,1
electro_grime,1
detroit_soul,1
screen_classical,1
pop_rock_electro,1
fiddle,1
underground,1
revival_punk,1
greek_folk,1
progressive_alterenative,1
classic_blues,1
bossa_and_others,1
screwed__and__chopped,1
hong_kong_english_pop,1
bossa_nova_samba,1
worl_jazz,1
soul_dance,1
banda,1
electric,1
bassline,1
television_judge,1
traditional_acoustic_blues,1
illustrator,1
old_style_jazz,1
ghettotech,1
chinese_rock,1
teatro_canzone,1
dirty_gospel,1
sarcasm,1
harmonica_blues,1
aboriginal_country,1
classic_country,1
video,1
elevator,1
oriented_rock,1
ventriloquism,1
broken_beat,1
cybergrind,1
coupé_décalé,1
bluegrass_gospel,1
ambient_folk,1
now_wave,1
death_rock,1
kan_ha_diskan,1
new_age_instrumental,1
op,1
library,1
english_beat,1
cuidado!,1
ameritopia,1
christian_contemporary,1
hebrew,1
swedish_pop,1
alternate_acoustic,1
powerviolence,1
monster_rock,1
literary_realism,1
recording_engineer,1
folkloric,1
argentine_folk,1
argentine,1
tyler_cassidy,1
tonal,1
opera__and__musical,1
chacarera,1
trance_blues,1
documentary,1
techno_pop,1
decima_campesina,1
santería,1
chanson_réaliste,1
eclectic,1
congolese_rumba,1
electronic_indie_pop,1
conjunto,1
kindie_rock,1
transcendental_pop,1
haole,1
experimental_electronic,1
comedy_song,1
social_change,1
progressive_jazz,1
show_tunes__contemporary,1
symphony,1
future_bass,1
experimental_acoustic,1
free,1
nueva_ola,1
heavy_rock,1
harp,1
freakbeat,1
future_funk,1
uk_hip_hop,1
filk,1
karate_rock,1
aggressive_soul,1
jingles,1
childrens_book_author,1
conga,1
gothabilly,1
classical_pop,1
italo_dance,1
traditional_bluegrass,1
old_time_american,1
canadian,1
balada,1
fingerstyle_and_classical_guitar,1
ninja_core,1
americana_folk_song,1
instrumental_metal,1
trailer,1
blues_rap,1
cha_cha_cha,1
nwobhm,1
vals,1
funky_house,1
traditional_gospel,1
slow_jams,1
nazrul_geeti,1
light,1
venezuelan_folk,1
britfunk,1
naat,1
chouval_bwa,1
euthadisco,1
disco_punk,1
nuevo_flamenco,1
nostalgia,1
dance_jug,1
elektro,1
cuban_son,1
soul_pop,1
salsa_romántica,1
folk_art_rock,1
football_chant,1
filmi_pop,1
male,1
old_skool,1
covering,1
performance_poetry,1
punk_cabaret,1
m_base,1
baggy,1
balkan,1
jazz_rock_fusion,1
zumba,1
incidental,1
vocal_surf,1
abakuá,1
compas,1
jewish_liturgy,1
contemporary_dance,1
noir_pop,1
melodic_black_metal,1
future_garage,1
j_synth,1
ethereal_wave,1
country_swing,1
ethno_rock,1
cadence_lypso,1
guabina,1
ethnic,1
italian_folk,1
wonky,1
sufi_rock,1
third_space,1
latin_house,1
celticana,1
traditional_pop_country,1
yass,1
industrial_tinged_alternative_folk,1
jazz_brazilian,1
funk_blues,1
pornogrind,1
sacred_steel,1
blues_jazz,1
farce,1
country_folk_rock,1
irish_soul,1
chamamé,1
soul_funk,1
country_and_irish,1
wonky_pop,1
afro_cuban,1
disco_electronica,1
piano_pop,1
west_coast,1
aleatoric,1
british,1
acoustic_progressive_rock,1
pop_noir,1
nerdcore,1
inspirational_country,1
1960s,1
black_rock,1
folk_pop_rock,1
traditional_jewish,1
j_rock,1
bass_guitar,1
hula,1
viking_metal,1
persian_classical,1
christian_new_age,1
vocal_quartet,1
berber,1
jazz_mugham,1
canadiana,1
beat_poetry,1
liturgy,1
r_and_bang,1
british_dance_band,1
torch_song,1
rock_electronic,1
the_great_american_songbook,1
new_york_hip_hop,1
alternative_classic,1
mainstream,1
acousmatic,1
jazz_standards,1
grupero,1
psycho_blues,1
island,1
rock_and_roll_revival,1
grind_core,1
opera_metal,1
orgasmic_r_and_b,1
jazz_gospel,1
solo_acoustic,1
louisiana_folk,1
karaoke,1
brass_rock,1
narrative_nonfiction,1
electronics,1
miami_bass,1
jazz_flamenco,1
froggy_fresh,1
pop_hip_hop,1
american_pop,1
garba,1
mashup,1
vaudeville_blues,1
sympho_rock,1
industrial_black_metal,1
roots_pop,1
jimi_hendrix_tribute,1
funeral_doom_metal,1
old_time_radio,1
social_commentary,1
street_artist,1
psychedelic_metal,1
folk_influenced_singer_songwriter,1
brega,1
melodic_metal,1
blues_punk,1
trap_metal,1
fringe_folk,1
vọng_cổ,1
casiocore,1
european_free_jazz,1
jewish_punk,1
drone_rock,1
movie_advertising,1
contemporary_opera,1
caribbean_calypso,1
hip_pop,1
fado,1
soviet,1
synth,1
show_tuness_jazz,1
persian_traditional,1
visual_kei,1
nu_pop,1
straight_edge,1
pop_blues,1
western_european_art,1
kansas_city_jazz,1
hispanic_folk,1
brostep,1
french_canadian,1
ill+hop,1
indie_classic,1
grand_opera,1
gregorian_chant,1
mantra,1
comedy_acting,1
grunge_rock,1
nengón,1
choral,1
vietnamese_pop,1
contemporary_country,1
marching_band,1
turkish,1
ska_jazz,1
north_mississippi_hill_country_blues,1
american_sign_language,1
tapping,1
bentonia_school,1
struggle__and__protest,1
rock_ballads,1
latin_hip_hop,1
celestial_metal,1
dark_rock,1
liquid_funk,1
spanish_rock,1
pop_culture,1
newgrass,1
baião,1
blackened_death_metal,1
