,0
jazz_funk,2
post-progressive,2
neo-folk,2
religious,2
celtic_metal,2
protest_songs,2
singer-songwriter_rock,2
comedy_pop,2
broadway_musicals,2
guajira,2
samba_rock,2
sleaze_rock,2
cello_rock,2
noise_music,2
blues_music,2
american_folk,2
doo_wop,2
film_soundtrack,2
cuban_rumba,2
french_rock,2
breton_music,2
twee_pop,2
impressions,2
rock_jazz,2
