label,frequency,female,male,female%,male%,max_list_length,min_list_length,mean_list_length
anarcho_punk,7,4.0,3.0,0.5714285714285714,0.42857142857142855,4.0,1.0,2.7142857142857144
gospel_blues,7,2.0,5.0,0.2857142857142857,0.7142857142857143,6.0,1.0,3.0
pop_folk,7,3.0,4.0,0.42857142857142855,0.5714285714285714,3.0,1.0,1.8571428571428572
new_flamenco,7,0.0,7.0,0.0,1.0,5.0,3.0,4.142857142857143
tribute,7,6.0,1.0,0.8571428571428571,0.14285714285714285,73.0,2.0,13.428571428571429
screamo,7,0.0,7.0,0.0,1.0,8.0,5.0,6.285714285714286
bubblegum_pop,7,2.0,5.0,0.2857142857142857,0.7142857142857143,73.0,2.0,13.857142857142858
jam,7,0.0,7.0,0.0,1.0,7.0,4.0,5.428571428571429
independent,7,2.0,5.0,0.2857142857142857,0.7142857142857143,12.0,1.0,3.5714285714285716
english_folk,7,4.0,3.0,0.5714285714285714,0.42857142857142855,5.0,1.0,2.142857142857143
pop_standards,7,1.0,6.0,0.14285714285714285,0.8571428571428571,7.0,2.0,3.4285714285714284
riot_grrrl,7,6.0,1.0,0.8571428571428571,0.14285714285714285,5.0,2.0,2.857142857142857
mariachi,7,3.0,4.0,0.42857142857142855,0.5714285714285714,12.0,2.0,5.714285714285714
black_comedy,7,3.0,4.0,0.42857142857142855,0.5714285714285714,8.0,4.0,6.0
progressive_house,7,1.0,6.0,0.14285714285714285,0.8571428571428571,9.0,3.0,5.142857142857143
sketch_comedy,7,1.0,6.0,0.14285714285714285,0.8571428571428571,7.0,5.0,5.714285714285714
avant_garde_pop,7,3.0,4.0,0.42857142857142855,0.5714285714285714,5.0,1.0,3.7142857142857144
deep_house,7,4.0,3.0,0.5714285714285714,0.42857142857142855,13.0,4.0,7.0
post_bop,7,3.0,4.0,0.42857142857142855,0.5714285714285714,45.0,2.0,9.571428571428571
comedy_hip_hop,7,0.0,7.0,0.0,1.0,6.0,3.0,4.428571428571429
american_folk,7,2.0,5.0,0.2857142857142857,0.7142857142857143,7.0,1.0,3.5714285714285716
noise_pop,6,5.0,1.0,0.8333333333333334,0.16666666666666666,9.0,1.0,4.166666666666667
no_wave,6,2.0,4.0,0.3333333333333333,0.6666666666666666,8.0,3.0,5.166666666666667
insult_comedy,6,2.0,4.0,0.3333333333333333,0.6666666666666666,8.0,3.0,5.666666666666667
deathcore,6,2.0,4.0,0.3333333333333333,0.6666666666666666,9.0,2.0,5.5
british_blues,6,0.0,6.0,0.0,1.0,7.0,1.0,4.333333333333333
piano_rock,6,0.0,6.0,0.0,1.0,6.0,4.0,5.166666666666667
arena_rock,6,0.0,6.0,0.0,1.0,73.0,4.0,16.666666666666668
klezmer,6,1.0,5.0,0.16666666666666666,0.8333333333333334,10.0,2.0,6.666666666666667
torch,6,6.0,0.0,1.0,0.0,6.0,1.0,3.5
cowpunk,6,1.0,5.0,0.16666666666666666,0.8333333333333334,8.0,4.0,5.166666666666667
skiffle,6,0.0,6.0,0.0,1.0,5.0,2.0,3.5
world_fusion,6,1.0,5.0,0.16666666666666666,0.8333333333333334,73.0,2.0,15.166666666666666
countrypolitan,6,0.0,6.0,0.0,1.0,7.0,2.0,3.3333333333333335
afro_cuban_jazz,6,0.0,6.0,0.0,1.0,45.0,2.0,10.666666666666666
acoustic_blues,6,0.0,6.0,0.0,1.0,8.0,1.0,4.0
modern_rock,6,2.0,4.0,0.3333333333333333,0.6666666666666666,7.0,2.0,3.8333333333333335
son,6,1.0,5.0,0.16666666666666666,0.8333333333333334,5.0,1.0,3.3333333333333335
spiritual,6,3.0,3.0,0.5,0.5,5.0,1.0,3.5
j_pop,6,2.0,4.0,0.3333333333333333,0.6666666666666666,7.0,1.0,3.8333333333333335
jam_band,6,0.0,6.0,0.0,1.0,6.0,2.0,3.8333333333333335
polka,6,1.0,5.0,0.16666666666666666,0.8333333333333334,10.0,2.0,6.166666666666667
chicago_soul,6,0.0,6.0,0.0,1.0,6.0,3.0,4.166666666666667
theater,6,2.0,4.0,0.3333333333333333,0.6666666666666666,8.0,2.0,4.666666666666667
traditional,6,4.0,2.0,0.6666666666666666,0.3333333333333333,5.0,2.0,3.3333333333333335
neoclassical,6,2.0,4.0,0.3333333333333333,0.6666666666666666,7.0,3.0,4.833333333333333
nasheed,6,0.0,6.0,0.0,1.0,7.0,2.0,4.166666666666667
2_tone,6,0.0,6.0,0.0,1.0,9.0,2.0,4.5
italo_disco,6,4.0,2.0,0.6666666666666666,0.3333333333333333,3.0,1.0,2.1666666666666665
third_wave_ska,5,1.0,4.0,0.2,0.8,8.0,2.0,4.0
new_acoustic,5,0.0,5.0,0.0,1.0,6.0,2.0,4.0
orchestral,5,0.0,5.0,0.0,1.0,4.0,2.0,3.2
character_comedy,5,3.0,2.0,0.6,0.4,12.0,5.0,7.0
jazz_blues,5,3.0,2.0,0.6,0.4,11.0,4.0,6.6
crossover,5,2.0,3.0,0.4,0.6,6.0,2.0,3.2
rapcore,5,0.0,5.0,0.0,1.0,10.0,6.0,7.6
zydeco,5,1.0,4.0,0.2,0.8,10.0,1.0,4.8
tropical,5,0.0,5.0,0.0,1.0,8.0,2.0,5.2
club,5,4.0,1.0,0.8,0.2,9.0,3.0,4.8
music_hall,5,2.0,3.0,0.4,0.6,6.0,1.0,3.2
hypnagogic_pop,5,1.0,4.0,0.2,0.8,6.0,3.0,4.2
rock_en_español,5,2.0,3.0,0.4,0.6,8.0,1.0,5.0
british_soul,5,3.0,2.0,0.6,0.4,6.0,3.0,4.4
tango,5,0.0,5.0,0.0,1.0,4.0,2.0,3.2
post_metal,5,0.0,5.0,0.0,1.0,7.0,3.0,5.4
pop_soul,5,4.0,1.0,0.8,0.2,5.0,2.0,3.6
sunshine_pop,5,2.0,3.0,0.4,0.6,73.0,1.0,16.6
southern_metal,5,0.0,5.0,0.0,1.0,6.0,4.0,4.8
symphonic_black_metal,5,1.0,4.0,0.2,0.8,7.0,3.0,4.8
cantopop,5,0.0,5.0,0.0,1.0,5.0,1.0,2.6
neo_progressive_rock,5,0.0,5.0,0.0,1.0,6.0,4.0,4.8
pop_dance,5,3.0,2.0,0.6,0.4,4.0,2.0,2.8
smooth_soul,5,2.0,3.0,0.4,0.6,6.0,5.0,5.2
jewish,5,2.0,3.0,0.4,0.6,4.0,1.0,2.6
folk_metal,5,1.0,4.0,0.2,0.8,7.0,3.0,5.4
classical_guitar,5,0.0,5.0,0.0,1.0,6.0,1.0,2.0
yé_yé,5,4.0,1.0,0.8,0.2,6.0,1.0,3.4
french_hip_hop,5,1.0,4.0,0.2,0.8,3.0,1.0,1.8
breakbeat,5,1.0,4.0,0.2,0.8,73.0,3.0,18.0
bachata,5,1.0,4.0,0.2,0.8,5.0,3.0,3.6
jazz_rap,5,0.0,5.0,0.0,1.0,45.0,2.0,13.8
chicano_rock,5,0.0,5.0,0.0,1.0,7.0,2.0,5.0
bengali,5,4.0,1.0,0.8,0.2,7.0,1.0,4.4
music,5,3.0,2.0,0.6,0.4,12.0,2.0,5.4
drill,5,0.0,5.0,0.0,1.0,6.0,3.0,3.8
christian_r_and_b,5,3.0,2.0,0.6,0.4,5.0,3.0,4.6
old_school_hip_hop,5,0.0,5.0,0.0,1.0,6.0,1.0,3.2
brazilian_jazz,5,0.0,5.0,0.0,1.0,4.0,2.0,2.4
electro_industrial,5,1.0,4.0,0.2,0.8,7.0,1.0,4.6
canadian_blues,5,0.0,5.0,0.0,1.0,4.0,2.0,3.0
stoner_metal,5,0.0,5.0,0.0,1.0,5.0,3.0,4.2
christian_country,5,2.0,3.0,0.4,0.6,10.0,2.0,5.2
oi!,5,0.0,5.0,0.0,1.0,5.0,2.0,3.8
surreal_humiddle_of_the_road,5,1.0,4.0,0.2,0.8,7.0,6.0,6.2
hard_bop,5,1.0,4.0,0.2,0.8,45.0,4.0,13.0
soul_rock,5,3.0,2.0,0.6,0.4,4.0,2.0,3.2
australian_rock,4,0.0,4.0,0.0,1.0,4.0,2.0,3.0
hindi,4,3.0,1.0,0.75,0.25,8.0,5.0,6.5
battle_rap,4,0.0,4.0,0.0,1.0,2.0,2.0,2.0
samba_rock,4,0.0,4.0,0.0,1.0,10.0,4.0,5.5
hill_country_blues,4,0.0,4.0,0.0,1.0,3.0,1.0,1.75
electronicore,4,0.0,4.0,0.0,1.0,6.0,4.0,5.0
songwriter,4,1.0,3.0,0.25,0.75,6.0,1.0,3.25
euro_disco,4,0.0,4.0,0.0,1.0,5.0,1.0,3.25
chamber_folk,4,4.0,0.0,1.0,0.0,5.0,2.0,3.0
gulf_and_western,4,0.0,4.0,0.0,1.0,8.0,4.0,5.0
kirtan,4,0.0,4.0,0.0,1.0,3.0,1.0,2.5
burlesque,4,3.0,1.0,0.75,0.25,6.0,3.0,5.0
neue_deutsche_härte,4,0.0,4.0,0.0,1.0,3.0,1.0,1.75
hardcore,4,0.0,4.0,0.0,1.0,3.0,2.0,2.25
big_beat,4,0.0,4.0,0.0,1.0,8.0,1.0,4.5
new_mexico,4,1.0,3.0,0.25,0.75,12.0,1.0,5.75
dark_pop,4,3.0,1.0,0.75,0.25,15.0,1.0,6.5
minimalism,4,0.0,4.0,0.0,1.0,9.0,1.0,4.75
norteño,4,0.0,4.0,0.0,1.0,12.0,3.0,7.0
death_doom,4,0.0,4.0,0.0,1.0,7.0,3.0,4.75
traditional_black_gospel,4,3.0,1.0,0.75,0.25,5.0,3.0,4.25
raï,4,2.0,2.0,0.5,0.5,4.0,1.0,1.75
post_britpop,4,0.0,4.0,0.0,1.0,7.0,3.0,5.0
roots_reggae,4,1.0,3.0,0.25,0.75,6.0,1.0,4.0
