artist,gender
Mitch_Goudy,male
Lolo,female
Florence_K,female
Gary_Beals,male
Glenn_Barber,male
Reeves_Gabrels,male
Chris_Knight,male
Ryan_Bingham,male
Gil_Moore,male
Josephine_Foster,female
Liam_Cormier,male
QT,female
Freddie_Roulette,male
Barbara_Pittman,female
James_MacDonough,male
Jean-Luc_Lahaye,male
Dick_Feller,male
Diana_Trask,female
Diamanda_Galás,female
Jeremy_Camp,male
Shannon_Curtis,female
Raphael_Wressnig,male
Kim_Appleby,female
Tom_Hambridge,male
Igor_Saavedra,male
Left_Brain,male
Vanessa_Rubin,female
Charlie_Hunter,male
Polly_Brown,female
MattyBRaps,male
Alex_Wolff,male
Soul_Khan,male
Stagga_Lee,male
Saint_Vincent,male
Wayne_Coyne,male
Jeff_DaRosa,male
Mads_Eriksen,male
Pat_Travers,male
Jeff_LaBar,male
Rusty_Goodman,male
Kate_Alexa,female
Darren_Hanlon,male
Sean_Nicholas_Savage,male
Bruce_Dickinson,male
Håkon_Paulsberg,male
John_Farrar,male
"Greg_""Fingers""_Taylor",male
Jentina,female
Casey_J,female
Lenny_Welch,male
Terri_Hollowell,female
Henry_Lau,male
Shane_Harper,male
Eerie_Von,male
Erin_Hamilton,female
Stephanie_Edwards,female
Jenny_Warren,female
Colin_Bass,male
Elana_Stone,female
Morgane_Stapleton,female
Jonny_Diaz,male
I-20,male
Haley_Gibby,female
Damon_Fowler,male
Jean-Michel_Labadie,male
Jonny_McGovern,male
Adam_Jensen,male
Wade_Hayes,male
Tineta,female
Pablo_Milanés,male
Margie_Day,female
Natalie_Bassingthwaighte,female
Ellie_Drennan,female
Tom_Brumley,male
Odd_Nordstoga,male
Suzi_Shelton,female
Jimmy_Hughes,male
Big_Moe,male
Alexander_O'Neal,male
Dae_Dae,male
Fenton_Robinson,male
Marshall_Drew,male
Bill_Carroll,male
Korey_Cooper,female
Jean-Paul_Bourelly,male
Alan_Paul,male
Lita_Roza,female
Krzysztof_Zalewski,male
JJ_Heller,female
Dean_Edwards,male
James_Genus,male
Billy_Joe_Royal,male
Andrew_Cash,male
Steve_Dawson,male
Coy_Pereira,male
Su-Elise_Nash,female
John_Stirratt,male
Tony_Romano,male
Tom_Jans,male
Tim_Austin,male
Jeff_Harnar,male
Greg_Graffin,male
Preston_Shannon,male
Kid_Harpoon,male
Liam_Finn,male
Charmaine,female
Tony_Rice,male
"Paul_""Wine""_Jones",male
Chris_Tompkins,male
Corey_Lowery,male
Py_Bäckman,female
"Enrique_González_""La_Pulga""",male
James_David_Vaughan,male
Garrison_Keillor,male
Björn_Strid,male
Herb_Jeffries,male
Dash,male
Aly_Michalka,female
Eric_Taylor,male
Dallas_Green,male
Dawn_Sears,female
Pye_Hastings,male
Phil_Small,male
Tameka_Cottle,female
Josie_Jones,female
Magic_Sam,male
Lightnin'_Slim,male
Rozz_Williams,male
Del_Wood,male
Noam_Weinstein,male
Harry_J,male
Hope_Nicholls,female
Brian_Hughes,male
Bob_Roberts,male
Lady_Sovereign,female
Angel_Faith,female
Dan_Hylander,male
Faye,female
Tommy_James,male
Dan_Hall,male
Otis_Gibbs,male
Stephen_Warbeck,male
Iain_Cook,male
Rachel_Farley,female
Dave_Haywood,male
Joe_B._Mauldin,male
Panda_Bear,male
John_Michael_Talbot,male
Koxie,female
Jérémy_Amelin,male
Dax_Riggs,male
Lynn_Carey,female
Hinda_Hicks,female
Neville_Staple,male
Isaac_Oviedo,male
Shane_Stockton,male
John_Fogerty,male
Gwen_Guthrie,female
Johnny_Temple,male
Martha_Davis,female
Taana_Gardner,female
Elizabeth_Cotten,female
Yvonne_Barrett,female
Greg_X._Volz,male
John_Outcalt,male
Syesha_Mercado,female
Beverly_Crawford,female
Jairo_Guedz,male
Steffen_Kummerer,male
Ezio_Pinza,male
Tunde_Baiyewu,male
Ben_Keith,male
Keisha_Jackson,female
Jack_Ponti,male
Joseph_Williams,male
Angelica_Segerbäck,female
Steven_Springer,male
Eric_Knight,male
Jens_Kidman,male
Little_Arthur_Duncan,male
Nnenna_Freelon,female
Chalmers_Alford,male
Blaq_Poet,male
Gotye,male
Rick_Neufeld,male
Josh_Ritter,male
John_Miner,male
Carly_Smithson,female
Angela_McCluskey,female
Mosie_Lister,male
Wesley_Dennis,male
Tom_Odell,male
Jerry_Garcia,male
Brandon_Rogers,male
Peggy_Little,female
Pleasure_P,male
Alexandra_Burke,female
Joe_Van_Moyland,male
Kerli,female
Zakiya,female
Geoff_Mack,male
Peter_Katz,male
Moos,male
Cary_Brothers,male
Isleym,female
Roy_Drusky,male
Richard_Benson,male
Mike_Baker,male
Pete_Wentz,male
Rhiannon_Giddens,female
Rachel_Walker,female
Jackie_DeShannon,female
Roberto_Dalla_Vecchia,male
Chris_Impellitteri,male
Bev_Sage,female
Johnny_Hiland,male
Joe_Bouchard,male
Milira,female
Wynonna_Judd,female
Pamela_Polland,female
Jack_de_Keyzer,male
Daniel_DeShaime,male
Travis_Morrison,male
Shmuel_Shapiro,male
Craig_Abaya,male
Gilberto_Monroig,male
Jay_Bentley,male
Rykka,female
Eric_Gale,male
Cliffie_Stone,male
Lenka_Lichtenberg,female
Chance_McKinney,male
Betty_McGlown,female
George_Grantham,male
Olaf_Keil,male
Anne_Evans,female
Clinton_Ford,male
Jim_Marcus,male
Giorgia_Fumanti,female
Jesse_Leach,male
Kokomo_Arnold,male
Amy_Grant,female
Basil_Gabbidon,male
