,0
argentine_music,1
ill+hop,1
musical_pop,1
mississippi_blues,1
traditional_blues,1
comedy_rap,1
brazilian_music,1
lofi,1
traditional_pop_country,1
inspirational_country,1
rocknroll,1
space_disco,1
musique_concrète,1
indian_classical_music,1
jazz_funk_bluegrass_pop,1
yodelling,1
youth_crew,1
ritual,1
rock-and-roll,1
caribbean_calypso,1
bass_guitar,1
jazz_soul,1
trance-pop,1
hawaii_music,1
cape_jazz,1
persian,1
american_sign_language,1
nursery_rhymes,1
melodic_dubstep,1
bollywood_music,1
television_judge,1
nazrul_geeti,1
hebrew,1
western_movies,1
old_skool,1
mexican_folk,1
cybergrind,1
punk-funk,1
jazz_mugham,1
noir_pop,1
pornogrind,1
blues_revival,1
bulgarian_folklorica,1
screen_classical,1
kindie_rock,1
alt-folk,1
french_variété,1
british,1
r&g,1
cuban_son,1
candombe,1
barrelhouse,1
patriotic_rock,1
rock&roll_americana_rhythm_and_blues_alternative,1
theme_music,1
funky_house,1
streets—blues_roots,1
downtown,1
bubblegum_rock,1
alt_classic,1
new_york_hip_hop,1
diy,1
neo-bop_jazz,1
nerdcore_hip_hop,1
choral,1
persian_traditional_music,1
adult_contemporary_pop,1
vals,1
chopped_and_screwed,1
halloween_music,1
sarcasm,1
fife_and_drum,1
abakuá_music,1
celtic_pop,1
close_harmony,1
country_swing,1
christmas,1
african,1
oldtime,1
sound_art,1
chouval_bwa,1
broken_beat,1
disco_electronica,1
avant-garde_progressive_rock,1
adult_pop,1
kadans,1
ska-core,1
sitcom_satire,1
poetry,1
comedy_song,1
and_lounge,1
spoken_word_comedy,1
west_coast,1
new_wave_music,1
swamp,1
froggy_fresh,1
aggressive_soul,1
bhangramuffin,1
pop_contemporary_opera,1
science,1
bluegrass_gospel,1
performance_poetry,1
