,artist,gender,category,retrieved,genre
102,Ace Andres,male,American_male_guitarists,Ace Andres,[]
103,Ace Enders,male,American_male_guitarists,Ace Enders,['dreamo']
104,Ace Frehley,male,American_male_guitarists,Ace Frehley,"['album rock', 'glam metal', 'hard rock', 'metal', 'rock']"
105,Ace Hood,male,African-American_male_rappers,Ace Hood,"['dirty south rap', 'gangster rap', 'hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
106,Ace Kefford,male,English_male_singers,Ace Kefford,[]
107,Ace Von Johnson,male,American_male_guitarists,none,none
108,Ace Wilder,female,Swedish_female_singers,Ace Wilder,"['europop', 'eurovision', 'swedish idol pop', 'swedish pop']"
109,Acey Slade,male,American_male_guitarists,Acey Slade & The Dark Party,[]
110,Action Bronson,male,American_male_rappers,Action Bronson,"['alternative hip hop', 'east coast hip hop', 'hip hop', 'nyc rap', 'queens hip hop', 'rap', 'southern hip hop', 'underground hip hop']"
111,Ad Sluijter,male,Male_guitarists,none,none
112,Ad-Rock,male,American_male_guitarists,Ad-Rock,[]
113,Ada Blanche,female,English_female_singers,none,none
114,Ada Brown,female,American_female_singers,Adam Brown,[]
115,Ada Jones,female,English_female_singers,Adam Jones,[]
116,Ada Reeve,female,English_female_singers,Adam Reeves,[]
117,Adair Tishler,female,American_female_singers,none,none
118,Adalberto Álvarez,male,Male_songwriters,Adalberto Álvarez y su Son,"['cuban rumba', 'salsa cubana', 'son cubano', 'timba']"
119,Adalita Srsen,female,Australian_female_singers,none,none
120,Adam Agius,male,Australian_male_singers,none,none
121,Adam Ant,male,English_male_singers,Adam Ant,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave']"
122,Adam Bomb,male,American_male_guitarists,Adam Bomb Da Kyng,[]
123,Adam Brodsky,male,American_male_singers,none,none
124,Adam Cappa,male,American_male_singers,Adam Cappa,[]
125,Adam Carroll,male,American_male_guitarists,Adam Carroll,"['alternative country', 'roots americana', 'roots rock', 'texas country']"
126,Adam Clayton,male,Male_guitarists,Adam Clayton,[]
127,Adam Cohen,male,Canadian_male_singers,Adam Cohen,['quebec indie']
128,Adam Darr,male,Male_guitarists,Darryl Adams,[]
129,Adam Deibert,male,American_male_guitarists,none,none
130,Adam Doll,male,American_male_guitarists,Adam Dollar$,[]
131,Adam Duce,male,American_male_guitarists,none,none
132,Adam Duritz,male,American_male_singers,Adam Duritz,[]
133,Adam Dutkiewicz,male,American_male_guitarists,none,none
134,Adam Faith,male,English_male_singers,Adam Faith,"['brill building pop', 'british invasion', 'classic uk pop', 'merseybeat', 'rock-and-roll']"
135,Adam Ficek,male,English_male_singers,Adam Ficek,[]
136,Adam Fulara,male,Male_guitarists,Adam Fulara,[]
137,Adam Gardner,male,American_male_guitarists,Adam Gardner,[]
138,Adam Gates,male,American_male_guitarists,none,none
139,Adam Gaynor,male,American_male_guitarists,Adam Gaynor,[]
140,Adam Gnade,male,American_male_guitarists,Adam Gnade,[]
141,Adam Gontier,male,Canadian_male_singers,Adam Gontier,[]
142,Adam Grahn,male,Swedish_male_singers,none,none
143,Adam Granduciel,male,American_male_guitarists,none,none
144,Adam Gregory,male,Canadian_male_singers,Adam Gregory,"['alberta country', 'canadian country', 'country road']"
145,Adam Grossman,male,American_male_guitarists,Adam Grossmann,[]
146,Adam Hamilton,male,American_male_guitarists,Adam Hamilton,[]
147,Adam Holzman,male,American_male_guitarists,Adam Holzman,['classical guitar']
148,Adam James,male,Australian_male_singers,Adam James Deiboldt,[]
149,Adam Jensen,male,American_male_singer-songwriters,Adam Jensen,"['indie poptimism', 'modern alternative rock', 'rebel blues']"
150,Adam Jones,male,American_male_guitarists,Adam Jones,[]
151,Adam Joseph,male,American_male_singer-songwriters,Adam Joseph,['strut']
152,Adam Kantor,male,American_male_singers,Adam Kantor,[]
153,Adam Klein,male,American_male_singer-songwriters,Adam Klein,[]
154,Adam Kowalczyk,male,American_male_guitarists,Adam Kowalczyk,[]
155,Adam Kury,male,American_male_guitarists,none,none
156,Adam Lambert,male,American_male_singer-songwriters,Adam Lambert,"['dance pop', 'idol', 'pop', 'post-teen pop']"
157,Adam Latiff,male,American_male_guitarists,none,none
158,Adam Lazzara,male,American_male_singers,Adam Lazzara,[]
159,Adam Leonard,male,English_male_singers,Adam Leonard,[]
160,Adam Levine,male,American_male_guitarists,Adam Levine,['pop rock']
161,Adam Levy,male,American_male_guitarists,Adam Levy,[]
162,Adam Lopez,male,Australian_male_singers,Adam Lopez,['operatic pop']
163,Adam Martin,male,Australian_male_singers,Adam Martin,['deep talent show']
164,Adam Nodelman,male,American_male_guitarists,none,none
165,Adam Nowak,male,Male_guitarists,Adam Nowak,[]
166,Adam Phillips,male,English_male_singers,Adam Phillips,[]
167,Adam Pålsson,male,Swedish_male_singers,Adam Pålsson,[]
168,Adam Rafferty,male,American_male_guitarists,Adam Rafferty,"['fingerstyle', 'jazz guitar']"
169,Adam Rickitt,male,English_male_singers,Adam Rickitt,['bubblegum dance']
170,Adam Rogers,male,American_male_guitarists,Adam Rogers,"['contemporary jazz', 'jazz guitar']"
