,artist,gender,retrieved,genre
22852,Tom Hambridge,male,https://en.wikipedia.org/wiki/Tom_Hambridge,"Country music, Blues"
22853,Nerdkween,female,https://en.wikipedia.org/wiki/Nerdkween,"Noise pop, Ambient music, Lo-fi, Folk music, Freak folk, Experimental music, New Weird America, Pop music, Dream pop"
22854,Maylee Todd,female,https://en.wikipedia.org/wiki/Maylee_Todd,"Indie pop, R&amp;B"
22855,Conphidance,male,none,none
22856,Patricia Conroy,female,https://en.wikipedia.org/wiki/Patricia_Conroy,Country music
22857,Armistead Burwell Smith IV,male,https://en.wikipedia.org/wiki/Armistead_Burwell_Smith_IV,"Indie rock, Art punk"
22858,Spider Loc,male,https://en.wikipedia.org/wiki/Spider_Loc,Hip hop music
22859,Johnny DeFrancesco,male,none,none
22860,Barbara McNair,female,https://en.wikipedia.org/wiki/Barbara_McNair,"Rhythm and blues, Soul music, Jazz, Adult contemporary music"
22861,Argyle Goolsby,male,https://en.wikipedia.org/wiki/Argyle_Goolsby,"Punk rock, Horror punk, Deathrock, Heavy metal music"
22862,Jordan Fisher,male,https://en.wikipedia.org/wiki/Jordan_Fisher,"Pop music, Soul music, Jazz, Hip hop music"
22863,Tawatha Agee,female,https://en.wikipedia.org/wiki/Tawatha_Agee,"R&amp;B, Soul music"
22864,James V. Kern,male,none,none
22865,Sammy Lawhorn,male,https://en.wikipedia.org/wiki/Sammy_Lawhorn,Chicago blues
22866,Sam Smith,male,https://en.wikipedia.org/wiki/Sam_Smith,"Pop music, Soul music, Pop-soul"
22867,Keegan DeWitt,male,none,none
22868,Ben Howard,male,https://en.wikipedia.org/wiki/Ben_Howard,"Folk music, Indie folk, Ambient music, Experimental rock, Alternative rock, Rock music"
22869,Rachele Lynae,female,https://en.wikipedia.org/wiki/Rachele_Lynae,Country rock
22870,Clémentine Delauney,female,https://en.wikipedia.org/wiki/Clémentine_Delauney,"Symphonic metal, Symphonic metal"
22871,Joey Badass,male,https://en.wikipedia.org/wiki/Joey_Badass,"Hip hop music, East coast hip hop"
22872,Bonnie Brown,female,https://en.wikipedia.org/wiki/Bonnie_Brown_(musician),Country music
22873,Sasha P,female,https://en.wikipedia.org/wiki/Sasha_P,Hip Hop music
22874,General Crook,male,none,none
22875,Glenn Frey,male,https://en.wikipedia.org/wiki/Glenn_Frey,"Rock music, Pop rock, Soft rock, Country rock"
22876,John Kasiewicz,male,none,none
22877,Tom Greenhalgh,male,https://en.wikipedia.org/wiki/Tom_Greenhalgh,"Alt-Country, Rock and Roll, Punk rock"
22878,Al Barr,male,https://en.wikipedia.org/wiki/Al_Barr,"Celtic punk, Hardcore Punk, Oi!, Punk Rock"
22879,Lily Berglund,female,https://en.wikipedia.org/wiki/Lily_Berglund,Schlager
22880,Steve Forde,male,none,none
22881,Deakin,male,none,none
22882,Adrian Gurvitz,male,https://en.wikipedia.org/wiki/Adrian_Gurvitz,"Rock music, Pop rock, Soft rock, Psychedelic rock, Hard rock, Blues rock"
22883,David Grissom,male,https://en.wikipedia.org/wiki/David_Grissom,"Rock and roll, Country rock, Blues rock"
22884,Don Was,male,https://en.wikipedia.org/wiki/Don_Was,New wave music
22885,Emily Estefan,female,none,none
22886,Janne Persson,male,https://en.wikipedia.org/wiki/Janne_Persson,"Gospel music, Schlager"
22887,Dave Amato,male,https://en.wikipedia.org/wiki/Dave_Amato,Rock music
22888,Dick Siegel,male,none,none
