,artist,retrieved,gender,genre
106,Andrea Corr,Andrea Corr,female,[]
107,Annie Clark,Annie Clark,female,[]
108,Lachi,Lachi,female,[]
109,Lynn Breedlove,Lynn Breedlove,female,[]
110,Sylvia McNeill,none,none,none
111,Sophie Ellis-Bextor,Sophie Ellis-Bextor,female,"['dance pop', 'disco house', 'europop', 'new wave pop', 'pop rock']"
112,Liz Enthusiasm,Liz Enthusiasm,female,[]
113,Skunk Anansie,Skunk Anansie,female,"['british alternative rock', 'pop rock']"
114,Kylie Minogue,Kylie Minogue,female,"['australian dance', 'australian pop', 'dance pop', 'disco house', 'electropop', 'eurodance', 'europop', 'new wave pop', 'pop', 'pop rock']"
115,St. Vincent,St. Vincent,female,"['art pop', 'chamber pop', 'electropop', 'escape room', 'etherpop', 'freak folk', 'indie pop', 'indie rock', 'indietronica', 'metropopolis']"
116,Dinah Cancer and the Grave Robbers,none,none,none
117,Laurie Anderson,Laurie Anderson,female,"['art pop', 'art rock', 'bow pop', 'compositional ambient', 'experimental', 'experimental pop', 'experimental vocal', 'laboratorio']"
118,Tina Turner,Tina Turner,female,"['disco', 'europop', 'mellow gold', 'new wave pop', 'soft rock']"
119,Pearl Lowe,none,none,none
120,Cher,Cher,female,"['dance pop', 'hollywood', 'new wave pop', 'pop']"
121,Elastica,Elastica,female,"['alternative pop', 'alternative rock', 'britpop', 'candy pop']"
122,Miki Furukawa,Miki Furukawa,female,[]
123,KT Tunstall,KT Tunstall,female,"['lilith', 'neo mellow', 'pop rock', 'scottish singer-songwriter']"
124,Live Skull,Live Skull,female,"['no wave', 'noise punk', 'noise rock']"
125,Patricia Morrison,Patricia Morrison,female,[]
126,Juice Newton,Juice Newton,female,"['classic country pop', 'country dawn', 'new wave pop', 'soft rock']"
127,The Dollz,The Satin Dollz,female,[]
128,Marijne van der Vlugt,Marijne van der Vlugt,female,[]
129,Suffrajett,Suffrajett,female,[]
130,Maggie MacDonald,Maggie Macdonald,female,[]
131,Berlin,Berliner Philharmoniker,female,"['classical', 'classical performance', 'orchestra']"
132,Agent M,DJ Agent M,female,[]
133,Octavia Sperati,Octavia Sperati,female,"['gothic metal', 'gothic symphonic metal', 'norwegian doom metal', 'norwegian metal', 'symphonic metal']"
134,Elizabeth Elmore,Elizabeth Elmore,female,[]
135,The Bellrays,The BellRays,female,"['action rock', 'garage rock', 'punk blues']"
136,Kaia Wilson,Kaia Wilson,female,[]
137,The Blackhearts,Joan Jett & The Blackhearts,female,"['glam punk', 'rock']"
138,Bratmobile,Bratmobile,female,"['indie punk', 'olympia wa indie', 'queercore', 'riot grrrl']"
139,Tracy Bonham,Tracy Bonham,female,"['alternative pop', 'boston rock', 'lilith', 'pop rock']"
140,Vanessa Carlton,Vanessa Carlton,female,"['dance pop', 'lilith', 'neo mellow', 'piano rock', 'pop rock', 'post-teen pop']"
141,Hey Monday,Hey Monday,female,"['candy pop', 'neon pop punk', 'pixie', 'pop emo', 'pop punk']"
142,Michelle Malone,Michelle Malone,female,[]
143,Pixies,Pixies,female,"['alternative rock', 'art rock', 'boston rock', 'garage rock', 'modern rock', 'noise pop', 'permanent wave', 'rock']"
144,Darby Mills,Darby Mills,female,[]
145,The New Pornographers,The New Pornographers,female,"['alternative rock', 'anti-folk', 'canadian indie', 'chamber pop', 'indie folk', 'indie pop', 'indie rock', 'modern power pop', 'modern rock', 'noise pop', 'stomp and holler', 'vancouver indie']"
146,Bif Naked,Bif Naked,female,"['canadian indie', 'canadian rock', 'candy pop', 'lilith']"
147,Eisley,Eisley,female,"['christian rock', 'dreamo', 'indie pop', 'piano rock']"
148,Louisa Rachel Solomon,none,none,none
149,Shocking Blue,Shocking Blue,female,"['classic rock', 'folk rock', 'nederpop', 'psychedelic rock']"
150,Zemfira,Zemfira Mironova,female,[]
151,KatieJane Garside,none,none,none
152,Human Waste Project,Human Waste Project,female,[]
153,Tom Tom Club,Tom Tom Club,female,"['dance rock', 'new romantic', 'new wave', 'no wave', 'post-punk']"
154,Blake Babies,Blake Babies,female,"['alternative pop', 'boston rock']"
155,Romeo Void,Romeo Void,female,"['dance rock', 'new romantic', 'new wave', 'new wave pop']"
156,Evil Stig,Evil Stig,female,[]
157,Kim Deal,Kim Deal,female,[]
158,Erase Errata,Erase Errata,female,"['bay area indie', 'riot grrrl']"
159,Catholic Discipline,none,none,none
160,Tattle Tale,The Tattle Tales,female,"['deep power-pop punk', 'power-pop punk']"
161,Jen Ledger,none,none,none
162,Christina Billotte,none,none,none
163,Korey Cooper,none,none,none
164,The Bangles,The Bangles,female,"['album rock', 'dance rock', 'europop', 'jangle pop', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'pop rock', 'rock', 'soft rock']"
165,Mama Cass Elliot,none,none,none
166,Killing Heidi,Killing Heidi,female,"['australian alternative rock', 'australian pop', 'australian rock']"
167,Anti-Scrunti Faction,none,none,none
168,Jody Bleyle,none,none,none
169,Tammy Ealom,none,none,none
170,Penelope Houston,Penelope Houston,female,[]
171,Sarah McLachlan,Sarah McLachlan,female,"['canadian pop', 'canadian singer-songwriter', 'ectofolk', 'folk', 'lilith', 'neo mellow', 'new wave pop', 'permanent wave', 'pop rock']"
172,Mia Zapata,Mia Zapata,female,[]
173,Juanita Stein,Juanita Stein,female,['australian indie rock']
174,Chaka Khan,Chaka Khan,female,"['dance pop', 'disco', 'funk', 'motown', 'neo soul', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']"
175,Becca,Becca,female,[]
176,Corin Tucker,Corin Tucker Band,female,[]
177,Carly Smithson,Carly Smithson,female,[]
178,ZOEgirl,ZOEgirl,female,"['christian alternative rock', 'christian music']"
179,The Runaways,The Runaways,female,"['early us punk', 'protopunk']"
180,Maria Taylor,Maria Taylor,female,['alabama indie']
181,Vanessa Petruo,none,none,none
182,The Postal Service,The Postal Service,female,"['indie pop', 'indie rock', 'indietronica', 'modern rock', 'seattle indie']"
183,Susanne Lewis,none,none,none
184,Eve's Plum,Eve's Plum,female,['alternative pop']
185,Goldy Locks,Goldy LockS,female,[]
186,Pitty,Pitty,female,"['baile pop', 'brazilian rock', 'hard rock brasileiro', 'mpb', 'rock gaucho']"
187,Emilíana Torrini,Emilíana Torrini,female,"['electronica', 'icelandic indie', 'icelandic pop', 'trip hop']"
188,Wynne Greenwood,none,none,none
189,Cassadee Pope,Cassadee Pope,female,"['contemporary country', 'country pop', 'pop emo', 'post-teen pop', 'viral pop']"
190,Kaori Okui,Kaori Okui,female,[]
191,Carah Faye Charnow,none,none,none
192,Taborah Johnson,TABORAH JOHNSON,female,[]
193,Juli,Julia Michaels,female,"['dance pop', 'electropop', 'pop', 'post-teen pop']"
194,Lisa Coleman,Lisa Coleman,female,[]
195,Bianca Halstead,none,none,none
196,Inger Lorre,Inger Lorre,female,[]
197,The Gits,The Gits,female,"['chicano punk', 'grunge', 'oi', 'riot grrrl']"
198,Republic of Safety,none,none,none
199,Emily Jane White,Emily Jane White,female,"['chamber pop', 'freak folk', 'indie folk']"
200,Bags,Nino Bags,female,[]
201,Karen Orzolek,Karen Lee Orzolek,female,[]
202,Throwing Muses,Throwing Muses,female,"['alternative pop', 'alternative rock', 'boston rock', 'dream pop', 'rhode island indie', 'riot grrrl']"
203,The Letter Black,The Letter Black,female,"['christian alternative rock', 'christian rock', 'pixie', 'pop emo']"
204,Elkie Brooks,Elkie Brooks,female,"['classic uk pop', 'new wave pop']"
205,Big Trouble,Big Troubles,female,['popgaze']
206,Satellite Party,none,none,none
207,Tone Norum,Tone Norum,female,['classic swedish pop']
208,Sharon Corr,Sharon Corr,female,['bow pop']
209,In This Moment,In This Moment,female,"['alternative metal', 'melodic metalcore', 'nu metal', 'post-grunge']"
210,Juliana Hatfield,Juliana Hatfield,female,"['alternative pop', 'alternative rock', 'boston rock', 'jangle pop', 'lilith', 'permanent wave', 'power pop']"
211,Sonja Kristina Linwood,none,none,none
212,Anastacia Newkirk,Anastacia Newkirk,female,[]
213,Rita Lee,Rita Lee,female,"['baile pop', 'bossa nova', 'brazilian rock', 'mpb', 'nova mpb']"
214,K's Choice,K's Choice,female,"['alternative pop', 'belgian rock', 'dutch rock', 'lilith']"
215,Holly Ross,Holly Ross,female,[]
216,New Young Pony Club,New Young Pony Club,female,"['alternative dance', 'dance-punk', 'electroclash', 'electropop', 'indietronica', 'neo-synthpop', 'new rave']"
217,Alexx Calise,Alexx Calise,female,[]
218,The Kills,The Kills,female,"['alternative dance', 'alternative rock', 'dance-punk', 'garage rock', 'indie rock', 'modern blues rock', 'modern rock', 'new rave', 'rock']"
219,Barcelona Pavilion,none,none,none
220,Joni Mitchell,Joni Mitchell,female,"['canadian folk', 'canadian singer-songwriter', 'folk', 'folk rock', 'lilith', 'mellow gold', 'pop rock', 'rock', 'roots rock', 'singer-songwriter', 'traditional folk']"
221,The Like,The Guy Who Didn't Like Musicals Cast,female,[]
222,Milla Jovovich,Milla Jovovich,female,[]
223,Powder,Powderfinger,female,"['australian alternative rock', 'australian indie', 'australian pop', 'australian rock', 'pop rock']"
224,Linda Thompson,Richard & Linda Thompson,female,"['british folk', 'country rock', 'folk', 'folk rock', 'roots rock', 'traditional folk']"
225,Addison Road,Addison Road,female,"['ccm', 'christian alternative rock', 'christian music']"
226,Auf der Maur,Melissa Auf der Maur,female,['rock quebecois']
227,Leslie Spit Treeo,Leslie Spit Treeo,female,[]
228,Joyce Kennedy,Joyce Kennedy,female,[]
229,Shawnee Smith,Shawnee Smith,female,[]
230,Ringo Sheena,Sheena Ringo,female,"['j-pop', 'j-rock']"
231,Joydrop,Joydrop,female,[]
232,Sonja Kristina,Sonja Kristina,female,[]
233,Sister Rosetta Tharpe,Sister Rosetta Tharpe,female,"['blues', 'gospel blues', 'traditional blues']"
234,Betty Curse,Betty Curse,female,['candy pop']
235,Sarah McLeod,Sarah McLeod,female,['australian dance']
236,Melora Creager,Melora Creager,female,"['cello', 'dark cabaret', 'steampunk']"
237,Beth Gibbons,Beth Gibbons,female,"['art pop', 'devon indie', 'electronica', 'trip hop']"
238,Heart,The Head and the Heart,female,"['folk-pop', 'indie folk', 'indie pop', 'neo mellow', 'new americana', 'seattle indie', 'stomp and holler']"
239,Stereolab,Stereolab,female,"['alternative rock', 'art pop', 'art rock', 'chamber pop', 'chamber psych', 'dance rock', 'dance-punk', 'dream pop', 'electronica', 'experimental', 'experimental pop', 'experimental rock', 'freak folk', 'indie pop', 'indie rock', 'indietronica', 'lo-fi', 'neo-psychedelic', 'new wave', 'noise pop', 'slow core']"
240,Natalia Jiménez,Natalia Jiménez,female,"['latin', 'latin arena pop', 'latin pop', 'spanish pop', 'spanish pop rock']"
241,Jenna McDougall,Jenna McDougall,female,[]
242,Wendy James,Wendy James,female,[]
243,Thalia Zedek,Thalia Zedek Band,female,[]
244,Allison Crowe,Allison Crowe,female,['lilith']
245,Dido,Dido,female,"['dance pop', 'new wave pop', 'pop rock']"
246,The Mamas & the Papas,The Mamas & The Papas,female,"['brill building pop', 'bubblegum pop', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'soft rock', 'sunshine pop']"
247,Hope Sandoval & the Warm Inventions,Hope Sandoval and the Warm Inventions,female,"['art pop', 'dream pop', 'freak folk', 'melancholia', 'slow core']"
248,Laura Branigan,Laura Branigan,female,"['dance rock', 'europop', 'new romantic', 'new wave pop', 'soft rock', 'synthpop']"
249,Holly McNarland,Holly McNarland,female,"['canadian indie', 'lilith']"
250,Terra Naomi,Terra Naomi,female,"['candy pop', 'lilith']"
251,The Avengers,The Underground Avengers,female,[]
252,Young Marble Giants,Young Marble Giants,female,"['alternative rock', 'art rock', 'dance rock', 'dance-punk', 'experimental', 'experimental rock', 'no wave', 'post-punk', 'twee pop', 'uk post-punk']"
253,Lisa Germano,Lisa Germano,female,"['etherpop', 'melancholia', 'slow core']"
