,artist,gender,retrieved,genre
11213,Taj Mahal,male,https://en.wikipedia.org/wiki/Taj_Mahal_(musician),"['blues', 'blues rock', 'r&b', 'reggae', 'jazz', 'country blues', 'world music']"
11214,Mia Borders,female,https://en.wikipedia.org/wiki/Mia_Borders,"['soul', 'funk', 'rhythm and blues']"
11215,Johnny Minick,male,https://en.wikipedia.org/wiki/Johnny_Minick,"['gospel', 'southern gospel']"
11216,John Collins,male,none,none
11217,Kita Alexander,female,https://en.wikipedia.org/wiki/Kita_Alexander,['pop']
11218,Grey DeLisle,female,https://en.wikipedia.org/wiki/Grey_DeLisle,"['country', 'electronica']"
11219,Barbecue Bob,male,https://en.wikipedia.org/wiki/Barbecue_Bob,"['piedmont blues', 'country blues']"
11220,Steve Smith,male,https://en.wikipedia.org/wiki/Steve_Smith_(musician),"['jazz', 'jazz fusion']"
11221,George Scott III,male,https://en.wikipedia.org/wiki/George_Scott_III,"['no wave', 'new wave', 'punk rock']"
11222,Rusty Anderson,male,https://en.wikipedia.org/wiki/Rusty_Anderson,"['rock', 'alternative rock']"
11223,Sylvia Vrethammar,female,https://en.wikipedia.org/wiki/Sylvia_Vrethammar,"['traditional pop', 'jazz', 'schlager']"
11224,Gavin Greenaway,male,https://en.wikipedia.org/wiki/Gavin_Greenaway,['film score']
11225,Elisabeth Troy,female,none,none
11226,Jonathan Fagerlund,male,https://en.wikipedia.org/wiki/Jonathan_Fagerlund,['pop']
11227,Max Jury,male,none,none
11228,Grant Green,male,https://en.wikipedia.org/wiki/Grant_Green,"['jazz', 'bebop', 'hard bop', 'soul jazz', 'jazz blues', 'jazz-funk']"
11229,Kevin Richardson,male,https://en.wikipedia.org/wiki/Kevin_Richardson_(musician),['pop']
11230,Andy Dunlop,male,https://en.wikipedia.org/wiki/Andy_Dunlop,"['alternative rock', 'britpop', ' rock']"
11231,Kiko Zambianchi,male,https://en.wikipedia.org/wiki/Kiko_Zambianchi,"['mpb', 'rock']"
11232,Alan Klein,male,https://en.wikipedia.org/wiki/Alan_Klein,['pop music']
11233,Shanir Ezra Blumenkranz,male,none,none
11234,Dave Dee,male,https://en.wikipedia.org/wiki/Dave_Dee,"['pop', 'rock', 'beat']"
11235,Karen Clark Sheard,female,https://en.wikipedia.org/wiki/Karen_Clark_Sheard,"['gospel', 'urban gospel', 'ccm']"
11236,Waylon Jennings,male,https://en.wikipedia.org/wiki/Waylon_Jennings,"['country', 'outlaw country', 'rockabilly', '(early)', 'country rock']"
11237,Angelica Rylin,female,https://en.wikipedia.org/wiki/Angelica_Rylin,"['symphonic metal', 'gothic metal', 'gothic rock', 'melodic rock', 'hard rock', 'aor']"
11238,Holly Johnson,male,https://en.wikipedia.org/wiki/Holly_Johnson,"['pop', 'dance', 'new wave']"
11239,Bill Taft,male,https://en.wikipedia.org/wiki/Bill_Taft,"['punk rock', 'folk']"
11240,Eddie Schwartz,male,https://en.wikipedia.org/wiki/Eddie_Schwartz,"['rock', 'pop']"
11241,Tomo Mili?evi?,male,none,none
11242,Bob Hart,male,none,none
