,artist,retrieved,gender,genre
187,Girlschool,Girlschool,female,"['hard rock', 'metal', 'nwobhm', 'rock']"
188,Hang On The Box,Hang On The Box,female,"['chinese indie rock', 'chinese punk', 'j-punk']"
189,Shonen Knife,Shonen Knife,female,"['j-punk', 'japanese garage rock', 'japanese girl punk', 'japanese pop punk', 'japanese punk rock']"
190,Baby in Vain,Baby In Vain,female,['danish alternative rock']
191,MT-TV,MTB's TV Idol,female,[]
192,Cobra,Cobra Starship,female,"['dance pop', 'neon pop punk', 'pop punk', 'post-teen pop']"
193,Thunderbugs,Thunderbugs,female,[]
194,Finally Punk,none,none,none
195,L7LiveOnRelease,none,none,none
196,Show-Ya,SHOW-YA,female,"['j-metal', 'japanese heavy metal']"
197,Some Girls,Some Girls,female,['mathcore']
198,Flying Lesbians,none,none,none
199,Erase Errata,Erase Errata,female,"['bay area indie', 'riot grrrl']"
200,The Coathangers,The Coathangers,female,"['atlanta indie', 'garage pop', 'garage rock', 'indie punk', 'riot grrrl']"
201,The She Trinity,The She Trinity,female,[]
202,Hinds,Hinds,female,['indie surf']
203,Cacadou Look,Cacadou look,female,"['croatian rock', 'yugoslav rock']"
204,Client,The Clientele,female,"['c86', 'dream pop', 'freak folk', 'melancholia', 'noise pop', 'slow core', 'twee pop']"
205,Lolita No. 18,none,none,none
206,"Twelve Girls Band, Traditional",none,none,none
207,Antigone Rising,Antigone Rising,female,['lilith']
208,Jack Off Jill,Jack Off Jill,female,"['dark cabaret', 'riot grrrl', 'steampunk']"
209,TCR,Tcrook$,female,[]
210,The Kut,DJ Wizz the Waxx Kutta,female,[]
211,"The 5,6,7,8's",none,none,none
212,Gacharic Spin,Gacharic Spin,female,"['alt-idol', 'idol rock', 'kawaii metal']"
213,Tribe 8,Tribe 8,female,"['queercore', 'riot grrrl']"
214,Warpaint,Warpaint,female,"['alternative dance', 'art pop', 'chamber pop', 'chillwave', 'dance-punk', 'dream pop', 'electronica', 'garage rock', 'indie pop', 'indie rock', 'la indie', 'modern dream pop', 'modern rock', 'new rave', 'nu gaze']"
215,Mary's Blood,Mary's Blood,female,"['idol rock', 'j-metal', 'japanese power metal', 'kawaii metal']"
216,Razika,Razika,female,"['bergen indie', 'norwegian indie', 'norwegian pop', 'norwegian pop rap', 'norwegian punk rock', 'norwegian rock']"
217,Ut,Hikaru Utada,female,"['j-pop', 'japanese singer-songwriter']"
218,The Shaggs,The Shaggs,female,"['experimental rock', 'outsider']"
219,Amiina,amiina,female,"['bow pop', 'compositional ambient', 'icelandic indie', 'icelandic pop', 'post-rock']"
220,Drain STH,Drain Sth,female,['slayer']
221,Kittie,Kittie,female,"['alternative metal', 'canadian metal', 'groove metal', 'industrial metal', 'industrial rock', 'nu metal', 'rap rock', 'slayer']"
222,Au Revoir SimoneThe Aquanettas,none,none,none
223,Dixie Chicks,Dixie Chicks,female,"['contemporary country', 'country', 'country dawn']"
224,International Sweethearts of Rhythm,The International Sweethearts Of Rhythm,female,[]
225,Hijas de Violencia,none,none,none
226,Bratmobile,Bratmobile,female,"['indie punk', 'olympia wa indie', 'queercore', 'riot grrrl']"
227,The Go-Go's,Ski Mask The Slump God,female,"['miami hip hop', 'rap', 'trap', 'underground hip hop', 'vapor trap']"
228,She Rockers,She Rockers,female,"['conscious hip hop', 'old school uk hip hop']"
229,Stonefield,Stonefield,female,"['australian psych', 'neo-psychedelic']"
230,Rebecca & Fiona,Rebecca & Fiona,female,"['electropop', 'swedish electropop', 'swedish pop']"
231,Super Junky Monkey,SUPER JUNKY MONKEY,female,['japanese girl punk']
232,Thug Murder,Thug Murder,female,['japanese girl punk']
233,The Warning,The Warning,female,"['mexican metal', 'monterrey indie']"
234,First Aid Kit,First Aid Kit,female,"['indie folk', 'stomp and holler', 'swedish americana', 'swedish country']"
235,Hepburn,Audrey Hepburn,female,"['hollywood', 'vintage hollywood']"
236,Cyntia,Cyntia M.,female,[]
237,Silent Siren,SILENT SIREN,female,"['alt-idol', 'anime', 'anime rock', 'heavy alternative', 'idol rock', 'j-idol', 'j-pixie', 'j-pop']"
238,KSM,KSM,female,"['candy pop', 'post-teen pop']"
239,We've Got a Fuzzbox and We're Gonna Use It,none,none,none
240,The Whoreshoes,The Whoreshoes,female,[]
241,Afrirampo,Afrirampo,female,"['japanese psychedelic', 'japanese psychedelic rock', 'japanoise']"
242,Magneta Lane,Magneta Lane,female,"['canadian garage rock', 'toronto indie']"
243,The Bodysnatchers,The Bodysnatchers,female,"['ska', 'ska revival']"
244,Luv'd Ones,none,none,none
