,artist,gender,retrieved,genre
1715,The Amorettes,female,https://en.wikipedia.org/wiki/The_Amorettes,['Hard rock']
1716,Ella Hooper,female,https://en.wikipedia.org/wiki/Ella_Hooper,[]
1717,Femme Fatale,female,https://en.wikipedia.org/wiki/Femme_Fatale_(band),"['Hard rock', 'Glam metal', 'Heavy metal music']"
1718,Nena,female,https://en.wikipedia.org/wiki/Nena,"['Neue Deutsche Welle', 'New wave music', 'Synth-pop', 'Pop music', 'Punk rock']"
1719,The Plastic Ono Band,female,https://en.wikipedia.org/wiki/The_Plastic_Ono_Band,"['Rock music', 'Experimental music', 'Avant-garde music']"
1720,Maja Ivarsson,female,https://en.wikipedia.org/wiki/Maja_Ivarsson,['Indie rock']
1721,D'arcy Wretzky,female,https://en.wikipedia.org/wiki/D'arcy_Wretzky,['Alternative rock']
1722,Natalie Maines,female,https://en.wikipedia.org/wiki/Natalie_Maines,"['Bluegrass music', 'Country music', 'Pop Rock', 'Country Pop']"
1723,Betty Boop,female,https://en.wikipedia.org/wiki/Betty_Boop_(band),"['Power pop', 'Pop rock']"
1724,Flor,female,https://en.wikipedia.org/wiki/Flor_(singer),"['Pop rock', 'Rock music']"
1725,Mandy Barnett,female,https://en.wikipedia.org/wiki/Mandy_Barnett,['Country music']
1726,Heather Duby,female,https://en.wikipedia.org/wiki/Heather_Duby,"['Experimental rock', 'Indie rock', 'Pop music']"
1727,Trachtenburg Family Slideshow Players,female,https://en.wikipedia.org/wiki/Trachtenburg_Family_Slideshow_Players,['Anti-folk']
1728,The Holy Sisters of the Gaga Dada,female,none,none
1729,Jan Kuehnemund,female,https://en.wikipedia.org/wiki/Jan_Kuehnemund,"['Hard rock', 'Glam metal', 'Pop rock']"
1730,Rita Hosking,female,https://en.wikipedia.org/wiki/Rita_Hosking,"['Americana (music)', 'Country music', 'Folk music', 'Bluegrass music']"
1731,The Gossip,female,https://en.wikipedia.org/wiki/The_Gossip,"['Indie rock', 'Dance-rock', 'Post-punk revival', 'Garage rock']"
1732,Sarah Harmer,female,https://en.wikipedia.org/wiki/Sarah_Harmer,"['Folk music', 'Pop music', 'Rock music']"
1733,Alison Parson,female,none,none
1734,Emma Anderson,female,https://en.wikipedia.org/wiki/Emma_Anderson,"['Alternative rock', 'Shoegazing']"
1735,Vicki Vann,female,https://en.wikipedia.org/wiki/Vicki_Vann,"['Country music', 'Country music', 'Soul music', 'Southern soul']"
1736,Rainey,female,none,none
1737,Shelly Fairchild,female,https://en.wikipedia.org/wiki/Shelly_Fairchild,['Country music']
1738,The Dø,female,https://en.wikipedia.org/wiki/The_Dø,"['Folk rock', 'Indie rock']"
1739,Cocteau Twins,female,https://en.wikipedia.org/wiki/Cocteau_Twins,"['Dream pop', 'Ethereal wave', 'Gothic rock', 'Post-punk']"
1740,Ruth Brown,female,https://en.wikipedia.org/wiki/Ruth_Brown,"['Rhythm and blues', 'Soul music', 'Jazz', 'Blues', 'Doo-wop', 'Gospel music', 'Funk']"
1741,Marilina Bertoldi,female,https://en.wikipedia.org/wiki/Marilina_Bertoldi,"['Alternative rock', 'Punk rock', 'Hard rock']"
1742,Republica,female,https://en.wikipedia.org/wiki/Republica,"['Alternative rock', 'Alternative dance', 'Synthpop', 'Dance-punk', 'Breakbeat', 'Electronica']"
1743,Lisa Loeb,female,https://en.wikipedia.org/wiki/Lisa_Loeb,"['Pop music', 'Rock music', ""Children's music""]"
1744,Catherine Ringer,female,https://en.wikipedia.org/wiki/Catherine_Ringer,"['New wave music', 'Pop rock', 'Alternative rock', 'Chanson']"
1745,Rachel Potter,female,https://en.wikipedia.org/wiki/Rachel_Potter,"['Country music', 'Country pop', 'Christian Contemporary', 'Soul music', 'Pop music', 'Hard rock', 'Pop rock']"
1746,Scarlet,female,none,none
1747,Susan Gibson,female,none,none
1748,Tijuana Sweetheart,female,https://en.wikipedia.org/wiki/Tijuana_Sweetheart,"['Punk rock', 'Alternative rock', 'Riot grrrl']"
1749,Cristina Llanos,female,https://en.wikipedia.org/wiki/Cristina_Llanos,"['Alternative rock', 'Grunge', 'Pop rock', 'Electropop']"
1750,Sonia Leigh,female,https://en.wikipedia.org/wiki/Sonia_Leigh,"['Country music', 'Americana (music)']"
1751,Tina Weymouth,female,https://en.wikipedia.org/wiki/Tina_Weymouth,"['New wave music', 'Post-punk', 'Art pop', 'Funk']"
