index,artist,retrieved,genre
364,Georgina Anderson,https://en.wikipedia.org/wiki/Georgina_Anderson,[]
365,Max Richter,https://en.wikipedia.org/wiki/Max_Richter,"['Contemporary classical music', 'Ambient Music', 'Minimal music', 'Postminimalism']"
366,Brian Austin Green,none,none
367,Denise Darcel,none,none
368,Cold Specks,https://en.wikipedia.org/wiki/Cold_Specks,"['Soul music', 'Goth rock']"
369,Mika,https://en.wikipedia.org/wiki/Mika_(singer),"['Pop music', 'Pop rock', 'Glam rock']"
370,Roger Joseph Manning Jr.,https://en.wikipedia.org/wiki/Roger_Joseph_Manning_Jr.,"['Pop music', 'Rock music', 'Electronic music']"
371,Dante Adrian White,none,none
372,Robert Pete Williams,https://en.wikipedia.org/wiki/Robert_Pete_Williams,['Louisiana blues']
373,Jennifer Charles,https://en.wikipedia.org/wiki/Jennifer_Charles,"['Pop music', 'Rock music']"
374,Max George,https://en.wikipedia.org/wiki/Max_George,"['Pop music', 'Synth-pop']"
375,Beverley Craven,https://en.wikipedia.org/wiki/Beverley_Craven,['Pop music']
376,Mikey Way,https://en.wikipedia.org/wiki/Mikey_Way,"['Alternative rock', 'Emo', 'Pop punk', 'Post-hardcore', 'Punk rock', 'Electropop']"
377,Carolyn Wonderland,https://en.wikipedia.org/wiki/Carolyn_Wonderland,['Blues']
378,Paul Thorn,https://en.wikipedia.org/wiki/Paul_Thorn,"['Americana (music)', 'Southern rock', 'Country music', 'Blues', 'Blues rock']"
379,Bettye LaVette,https://en.wikipedia.org/wiki/Bettye_LaVette,"['Soul music', 'Blues music', 'Rhythm and blues', 'Funk', 'Rock music', 'Country music', 'Americana (music)', 'Gospel music']"
380,Mishi Donovan,none,none
381,Óscar Chávez,none,none
382,Amy Correia,https://en.wikipedia.org/wiki/Amy_Correia,"['Folk music', 'Alternative country']"
383,Mark Cooke,https://en.wikipedia.org/wiki/Mark_Cooke,[]
384,Serius Jones,https://en.wikipedia.org/wiki/Serius_Jones,"['Hip hop music', 'Freestyle rap']"
385,Warrel Dane,https://en.wikipedia.org/wiki/Warrel_Dane,"['Heavy metal music', 'Progressive metal', 'Thrash metal', 'Power metal']"
386,Fryars,https://en.wikipedia.org/wiki/Fryars,"['Art rock', 'Synthpop', 'Baroque pop']"
387,Ian Moor,none,none
388,Alma,none,none
389,Ria,https://en.wikipedia.org/wiki/Ria_(singer),"['Pop music', 'Soul music', 'R&amp;B']"
390,Clancy Hayes,none,none
391,Mark Shaw,https://en.wikipedia.org/wiki/Mark_Shaw_(singer),"['Rock music', 'Pop rock']"
392,Megan Burns,https://en.wikipedia.org/wiki/Megan_Burns,['Pop rock']
393,Larry Johnson,https://en.wikipedia.org/wiki/Larry_Johnson_(musician),[]
394,Doug Pettibone,https://en.wikipedia.org/wiki/Doug_Pettibone,"['Rock music', 'Pop music', 'Jazz', 'R&amp;B', 'Country music']"
395,Lynn Carey Saylor,https://en.wikipedia.org/wiki/Lynn_Carey_Saylor,"['Pop music', 'Rock music', 'Adult album alternative']"
396,Ann Lee,https://en.wikipedia.org/wiki/Ann_Lee_(singer),['Eurodance']
397,Richie McDonald,https://en.wikipedia.org/wiki/Richie_McDonald,"['Country music', 'Pop music', 'Christian music']"
398,David Frizzell,https://en.wikipedia.org/wiki/David_Frizzell,"['Country music', 'Countrypolitan', 'Rockabilly']"
399,Georges Hamel,none,none
400,Billy Banks,none,none
401,Richard Hallebeek,none,none
402,Mark Fosson,none,none
403,John Flansburgh,https://en.wikipedia.org/wiki/John_Flansburgh,['Alternative rock']
404,John Hunter,https://en.wikipedia.org/wiki/John_Hunter_(singer),"['Pop music', 'Rock music']"
405,Ericka Hunter,none,none
406,Felicia Collins,none,none
407,Joe Van Moyland,https://en.wikipedia.org/wiki/Joe_Van_Moyland,"['Indie rock', 'Indie pop']"
408,Prince La La,https://en.wikipedia.org/wiki/Prince_La_La,['Rhythm and blues']
409,Eva Everything,https://en.wikipedia.org/wiki/Eva_Everything,['New wave music']
410,Torch,https://en.wikipedia.org/wiki/Torch_(rapper),['German hip hop']
411,Turk,https://en.wikipedia.org/wiki/Turk_(rapper),"['Hip hop music', 'Gangsta rap']"
412,Larry Boone,https://en.wikipedia.org/wiki/Larry_Boone,['Country music']
413,Rudi Wairata,https://en.wikipedia.org/wiki/Rudi_Wairata,[]
414,Eric Church,https://en.wikipedia.org/wiki/Eric_Church,"['Country music', 'Country rock']"
415,Mitsou,https://en.wikipedia.org/wiki/Mitsou,"['Synth-Pop', 'House music', 'New wave music', 'Rock music']"
416,Miss Kittin,https://en.wikipedia.org/wiki/Miss_Kittin,"['Electroclash', 'Synthpop', 'Hip hop music', 'Tech house']"
417,Dani Harmer,none,none
418,Patrick Sky,none,none
419,Pete Brown,https://en.wikipedia.org/wiki/Pete_Brown,[]
420,Rob Sonic,https://en.wikipedia.org/wiki/Rob_Sonic,['Hip hop music']
421,Doug Grean,none,none
422,Tomi Swick,https://en.wikipedia.org/wiki/Tomi_Swick,"['Pop music', 'Rock music']"
423,Tim Ryan,none,none
424,Lzzy Hale,https://en.wikipedia.org/wiki/Lzzy_Hale,"['Hard rock', 'Heavy metal music', 'Alternative metal', 'Post-grunge']"
425,Randy Holden,https://en.wikipedia.org/wiki/Randy_Holden,"['Hard rock', 'Heavy metal music', 'Acid rock', 'Psychedelic rock', 'Blues rock']"
426,Chase Hampton,none,none
427,Sadat X,https://en.wikipedia.org/wiki/Sadat_X,['Hip hop music']
428,DbClifford,none,none
429,Jamie-Lynn Sigler,none,none
430,Corey Hart,https://en.wikipedia.org/wiki/Corey_Hart_(singer),['Pop rock']
431,Brian Conley,none,none
432,Guyún,none,none
433,Joshua Alan,https://en.wikipedia.org/wiki/Joshua_Alan,"['Heavy metal music', 'Hard rock']"
434,Niki Sullivan,https://en.wikipedia.org/wiki/Niki_Sullivan,"['Rock and Roll', 'Pop music']"
435,Jay Aston,https://en.wikipedia.org/wiki/Jay_Aston,['Pop music']
436,Don Williams,https://en.wikipedia.org/wiki/Don_Williams,['Country music']
437,Mark Wilkinson,https://en.wikipedia.org/wiki/Mark_Wilkinson_(singer),"['Acoustic music', 'Folk music', 'Alternative rock', 'Pop music']"
438,Scott Holstein,none,none
439,Everett Barksdale,https://en.wikipedia.org/wiki/Everett_Barksdale,['Jazz']
440,Lisa Maffia,https://en.wikipedia.org/wiki/Lisa_Maffia,"['Contemporary R&amp;B', 'Hip hop music', 'UK garage', 'Electro house']"
441,Franny Beecher,https://en.wikipedia.org/wiki/Franny_Beecher,"['Jazz', 'Country music']"
442,Izzy Miller,https://en.wikipedia.org/wiki/Izzy_Miller,"['Rock music', 'Country music', 'Indie rock', 'Garage rock', 'Americana (music)']"
443,Michael Leviton,https://en.wikipedia.org/wiki/Michael_Leviton,"['Rock music', 'Pop music', 'Folk music', 'Surf music']"
444,Spice 1,https://en.wikipedia.org/wiki/Spice_1,"['Hip hop music', 'Gangsta rap', 'Horrorcore']"
445,Clara Morgane,none,none
446,Billy Howerdel,https://en.wikipedia.org/wiki/Billy_Howerdel,"['Rock music', 'Hard rock', 'Alternative rock', 'Alternative metal', 'Experimental rock', 'Industrial music']"
447,Jon Wolfe,https://en.wikipedia.org/wiki/Jon_Wolfe,['Country music']
448,Joe Herndon,none,none
449,Vincent D'Onofrio,none,none
450,Albennie Jones,https://en.wikipedia.org/wiki/Albennie_Jones,"['Blues', 'Jazz', 'Rhythm and blues']"
451,Tichina Arnold,https://en.wikipedia.org/wiki/Tichina_Arnold,"['Contemporary R&amp;B', 'Soul music', 'Gospel music']"
452,Grindmother,none,none
453,Jill Emery,https://en.wikipedia.org/wiki/Jill_Emery,"['Alternative rock', 'Punk rock', 'Grunge', 'Power pop']"
454,Dave Carpender,https://en.wikipedia.org/wiki/Dave_Carpender,['Rock and roll']
455,Robert Ellis,none,none
456,Jamie Broumas,https://en.wikipedia.org/wiki/Jamie_Broumas,['Jazz']
457,Jully Black,https://en.wikipedia.org/wiki/Jully_Black,"['Contemporary R&amp;B', 'Soul music', 'Reggae music', 'Pop music']"
458,Anna Leonore König,none,none
459,Margarita Monet,none,none
460,Jeffrey Osborne,https://en.wikipedia.org/wiki/Jeffrey_Osborne,"['Rhythm and blues', 'Soul music', 'Quiet storm', 'Adult contemporary', 'Disco']"
461,CeeLo Green,https://en.wikipedia.org/wiki/CeeLo_Green,"['Contemporary R&amp;B', 'Hip hop music', 'Soul music', 'Funk']"
462,Mary Margaret O'Hara,none,none
463,Caitlin Rose,https://en.wikipedia.org/wiki/Caitlin_Rose,"['Indie Folk', 'Alternative Country']"
464,Rob Mathes,none,none
465,Lauren Aquilina,https://en.wikipedia.org/wiki/Lauren_Aquilina,"['Indie pop', 'Soul music', 'Indie folk']"
466,John Darnielle,https://en.wikipedia.org/wiki/John_Darnielle,"['Indie folk', 'Indie rock', 'Folk rock', 'Lo-fi music', 'Folk music']"
467,Vicky Hamilton,https://en.wikipedia.org/wiki/Vicky_Hamilton_(musician),[]
468,Arbee Stidham,none,none
469,Michel Lemieux,https://en.wikipedia.org/wiki/Michel_Lemieux,"['Rock music', 'Experimental music']"
470,Bobb Goldsteinn,none,none
471,Daniel Kelaart,https://en.wikipedia.org/wiki/Daniel_Kelaart,"['Rock music', 'Pop music']"
472,Perry Como,https://en.wikipedia.org/wiki/Perry_Como,"['Pop music', 'Easy listening']"
473,Samuel Crossman,none,none
474,Jinx Titanic,https://en.wikipedia.org/wiki/Jinx_Titanic,"['Punk rock', 'Rockabilly', 'Pop rock', 'Alternative rock', 'Incidental music']"
475,Irmgard Österwall,none,none
476,Hoku,https://en.wikipedia.org/wiki/Hoku,"['Bubblegum pop', 'Teen pop', 'Europop', 'Christian music']"
477,Lennon Murphy,https://en.wikipedia.org/wiki/Lennon_Murphy,"['Nu metal', 'Heavy metal music', 'Hard rock', 'Acoustic rock', 'Pop music']"
