Source,Target,Weight
chanson,italian,1
punk_rock,dance_punk,3
soft_rock,funk,6
blues,flamenco,3
spoken_word,ska,1
hardcore_punk,alternative_hip_hop,3
hip_hop,nostalgia,1
speed_metal,instrumental_rock,1
post_hardcore,psychedelic,1
hardcore_punk,progressive_rock,2
ambient,rock,9
alternative_dance,dance_pop,2
r&b,trance,1
g_funk,gangsta_rap,8
flamenco,post_rock,1
math_rock,ambient,1
rock,alternative_dance,3
folk_rock,europop,1
soft_rock,progressive_rock,11
world_fusion,smooth_jazz,1
progressive_pop,jangle_pop,1
heartland_rock,rock&roll,3
country,rock&roll,64
funk_metal,hard_rock,7
slowcore,shoe_gaze,1
industrial,noise,3
comedy,folk,6
contemporary,indie_pop,1
r&b,soulful_house,1
dub,reggae_pop,1
bhajan,hindi,1
art_pop,nursery_rhymes,1
blues,rock,315
glam_metal,neoclassical_metal,1
hip_hop,garba,1
southern_rock,fingerstyle,1
easy_listening,bubblegum_pop,1
folk,old_time,8
new_age,flamenco,1
azerbaijani_jazz,nu_jazz,1
acoustic_rock,spoken_word,2
heavy_metal,acoustic,7
insult_comedy,musical_comedy,3
folk_rock,dream_pop,5
sludge_metal,folk,1
arena_rock,doo_wop,1
jazz,free_improvisation,3
alternative_rock,garage_punk,3
noise,indie_rock,1
rock,new_wave,100
canterbury_sound,progressive_pop,2
gulf_and_western,easy_listening,1
rock&roll,american_roots,1
avant_garde_jazz,european_free_jazz,1
third_space,christian_rock,1
electronic_rock,world_fusion,1
american_roots,country,1
pop,dialectician,1
soul,black_gospel,1
folk,traditional_pop,6
alternative_rock,funk_metal,14
hip_hop,christian_hip_hop,4
funk_rock,new_age,1
harmony_pop,lounge,1
light_rock,contemporary,1
alternative_rock,goth_rock,3
garage_punk,r&b,2
2_tone,hardcore_punk,1
dixieland,jazz_fusion,1
musique_concrete,oriented_rock,1
country_comedy,rock,1
r&b,neo_soul,79
smooth_jazz,swing,2
traditional_pop,swing,23
indo_jazz,mainstream_jazz,1
hip_hop,electro,13
ambient,glam_rock,1
soundtrack,popular,1
metalcore,groove_metal,8
experimental_rock,native_american,1
neo_soul,dance,4
folk_rock,folk_punk,5
electronica,new_wave,14
metal,progressive_rock,3
r&b,pop_rap,12
chillout,liquid_funk,1
dance,gothic_rock,1
r&b,funk,233
surf_rock,anthem_trance,1
punk_rock,electro_punk,7
delta_blues,juke_joint_blues,1
