artist,retrieved,gender,genre
K's Choice,K's Choice,female,"alternative pop, belgian rock, dutch rock, lilith"
New Young Pony Club,New Young Pony Club,female,"alternative dance, dance-punk, electroclash, electropop, indietronica, neo-synthpop, new rave"
The Kills,The Kills,female,"alternative dance, alternative rock, dance-punk, garage rock, indie rock, modern blues rock, modern rock, new rave, rock"
Joni Mitchell,Joni Mitchell,female,"canadian folk, canadian singer-songwriter, folk, folk rock, lilith, mellow gold, pop rock, rock, roots rock, singer-songwriter, traditional folk"
Powder,Powderfinger,female,"australian alternative rock, australian indie, australian pop, australian rock, pop rock"
Linda Thompson,Richard & Linda Thompson,female,"british folk, country rock, folk, folk rock, roots rock, traditional folk"
Addison Road,Addison Road,female,"ccm, christian alternative rock, christian music"
Auf der Maur,Melissa Auf der Maur,female,rock quebecois
Ringo Sheena,Sheena Ringo,female,"j-pop, j-rock"
Sister Rosetta Tharpe,Sister Rosetta Tharpe,female,"blues, gospel blues, traditional blues"
Betty Curse,Betty Curse,female,candy pop
Sarah McLeod,Sarah McLeod,female,australian dance
Melora Creager,Melora Creager,female,"cello, dark cabaret, steampunk"
Beth Gibbons,Beth Gibbons,female,"art pop, devon indie, electronica, trip hop"
Heart,The Head and the Heart,female,"folk-pop, indie folk, indie pop, neo mellow, new americana, seattle indie, stomp and holler"
Stereolab,Stereolab,female,"alternative rock, art pop, art rock, chamber pop, chamber psych, dance rock, dance-punk, dream pop, electronica, experimental, experimental pop, experimental rock, freak folk, indie pop, indie rock, indietronica, lo-fi, neo-psychedelic, new wave, noise pop, slow core"
Natalia Jiménez,Natalia Jiménez,female,"latin, latin arena pop, latin pop, spanish pop, spanish pop rock"
Allison Crowe,Allison Crowe,female,lilith
Dido,Dido,female,"dance pop, new wave pop, pop rock"
The Mamas & the Papas,The Mamas & The Papas,female,"brill building pop, bubblegum pop, classic rock, country rock, folk, folk rock, mellow gold, psychedelic rock, rock, soft rock, sunshine pop"
Hope Sandoval & the Warm Inventions,Hope Sandoval and the Warm Inventions,female,"art pop, dream pop, freak folk, melancholia, slow core"
Laura Branigan,Laura Branigan,female,"dance rock, europop, new romantic, new wave pop, soft rock, synthpop"
Holly McNarland,Holly McNarland,female,"canadian indie, lilith"
Terra Naomi,Terra Naomi,female,"candy pop, lilith"
Young Marble Giants,Young Marble Giants,female,"alternative rock, art rock, dance rock, dance-punk, experimental, experimental rock, no wave, post-punk, twee pop, uk post-punk"
Lisa Germano,Lisa Germano,female,"etherpop, melancholia, slow core"
Swing Out Sister,Swing Out Sister,female,"new romantic, new wave pop"
My Life With The Thrill Kill Kult,My Life With The Thrill Kill Kult,female,"ebm, electro-industrial, industrial, industrial metal, industrial rock"
Jessica Bailiff,Jessica Bailiff,female,slow core
Mojave 3,Mojave 3,female,"dream pop, noise pop, slow core"
Izïa,Izïa,female,"french indie pop, french indietronica, french rock, nouvelle chanson francaise"
No Doubt,No Doubt,female,"alternative rock, dance pop, permanent wave, pop rock, post-grunge"
Andrea Echeverri,Andrea Echeverri,female,"latin alternative, rock en espanol"
Sky Ferreira,Sky Ferreira,female,"art pop, candy pop, dance pop, electropop, escape room, indie pop, indietronica, la indie, metropopolis, neo-synthpop, pop"
Chantal Kreviazuk,Chantal Kreviazuk,female,"canadian pop, candy pop, ectofolk, lilith, new wave pop, piano rock, pop rock"
Zola Jesus,Zola Jesus,female,"art pop, chamber psych, experimental pop, grave wave, metropopolis, neo-synthpop, noise pop, witch house"
Şebnem Ferah,Şebnem Ferah,female,"turkish pop, turkish rock"
