,artist,gender,category,retrieved,genre
5709,Liberace,male,American_male_singers,Liberace,"['adult standards', 'easy listening']"
5710,Liberty Silver,female,Canadian_female_singers,Liberty Silver,['canadian pop']
5711,Lightnin' Hopkins,male,American_male_guitarists,Lightnin' Hopkins,"['acoustic blues', 'blues', 'country blues', 'delta blues', 'texas blues', 'traditional blues']"
5712,Lightnin' Slim,male,American_male_guitarists,Lightnin' Slim,"['blues', 'harmonica blues', 'louisiana blues', 'swamp blues', 'traditional blues']"
5715,Lil Bibby,male,African-American_male_rappers,Lil Bibby,"['chicago drill', 'chicago rap', 'drill', 'trap']"
5716,Lil Debbie,female,American_female_singers,Lil Debbie,"['escape room', 'trap queen']"
5717,Lil Dicky,male,American_male_rappers,Lil Dicky,"['comedy rap', 'pop rap', 'rap']"
5718,Lil Durk,male,African-American_male_rappers,Lil Durk,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'southern hip hop', 'trap']"
5719,Lil Eazy-E,male,African-American_male_rappers,Lil Eazy-E,"['g funk', 'west coast rap']"
5720,Lil Hardin Armstrong,female,African-American_female_singers,Lil Hardin Armstrong,['vintage jazz']
5721,Lil Jon,male,African-American_male_rappers,Lil Jon,"['atl hip hop', 'crunk', 'dance pop', 'dirty south rap', 'pop rap', 'southern hip hop']"
5722,Lil Mama,female,African-American_female_singer-songwriters,Lil Mama,"['hip pop', 'pop rap', 'trap queen']"
5723,Lil McClintock,male,American_male_guitarists,Lil McClintock,['vintage gospel']
5724,Lil Phat,male,African-American_male_rappers,Lil Phat,"['baton rouge rap', 'deep southern trap', 'dirty south rap', 'trap']"
5725,Lil Reese,male,African-American_male_rappers,Lil Reese,"['chicago drill', 'chicago rap', 'drill', 'trap']"
5727,Lil Ru,male,African-American_male_rappers,Lil Ru,"['atl hip hop', 'dirty south rap', 'pop rap', 'southern hip hop', 'trap']"
5728,Lil Scrappy,male,African-American_male_rappers,Lil Scrappy,"['atl hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'wrestling']"
5729,Lil Suzy,female,American_female_pop_singers,Lil Suzy,['freestyle']
5730,Lil Twist,male,African-American_male_rappers,Lil Twist,"['dfw rap', 'pop rap']"
5731,Lil Uzi Vert,male,African-American_male_rappers,Lil Uzi Vert,"['melodic rap', 'philly rap', 'rap']"
5732,Lil Wayne,male,African-American_male_rappers,Lil Wayne,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
5733,Lil Wyte,male,American_male_rappers,Lil Wyte,"['country rap', 'crunk', 'dirty south rap', 'gangster rap', 'memphis hip hop', 'pop rap', 'rap', 'redneck', 'southern hip hop', 'trap']"
5734,Lil Yachty,male,African-American_male_rappers,Lil Yachty,"['atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']"
5736,Lil' Cease,male,African-American_male_rappers,Lil' Cease,['nyc rap']
5738,Lil' Flip,male,African-American_male_rappers,Lil' Flip,"['crunk', 'deep southern trap', 'dirty south rap', 'gangster rap', 'houston rap', 'pop rap', 'southern hip hop', 'trap']"
5740,Lil' Kim,female,African-American_female_singers,Lil' Kim,"['dance pop', 'east coast hip hop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap queen', 'urban contemporary']"
5743,Lil' Troy,male,African-American_male_rappers,Lil' Troy,"['dirty south rap', 'gangster rap', 'southern hip hop']"
5745,Lila McCann,female,American_female_country_singers,Lila McCann,"['country', 'country dawn']"
5746,Lilian Garcia,female,American_female_pop_singers,Lilian Garcia,['wrestling']
5747,Lilian Harvey,female,English_female_singers,Lilian Harvey,['vintage schlager']
5748,Lill Lindfors,female,Swedish_female_singers,Lill Lindfors,"['classic swedish pop', 'swedish jazz', 'vintage swedish pop']"
5749,Lill-Babs,female,Swedish_female_singers,Lill-Babs,"['classic swedish pop', 'vintage swedish pop']"
5750,Lillebjørn Nilsen,male,Male_guitarists,Lillebjørn Nilsen,"['classic norwegian pop', 'norwegian rock']"
5751,Lillias White,female,African-American_female_singers,Lillias White,"['disney', 'hollywood', 'movie tunes']"
5752,Lillo Thomas,male,American_male_singers,Lillo Thomas,['post-disco']
5753,Lilly Hiatt,female,Female_rock_singers,Lilly Hiatt,"['alternative country', 'deep new americana', 'indie folk', 'nashville americana', 'nashville singer-songwriter', 'new americana', 'roots rock']"
5754,Lily Afshar,female,American_female_guitarists,Lily Afshar,['classical guitar']
5755,Lily Allen,female,English_female_singer-songwriters,Lily Allen,"['dance pop', 'europop', 'pop', 'pop rock']"
5756,Lily Berglund,female,Swedish_female_singers,Lily Berglund,['vintage swedish pop']
5757,Lily Elise,female,American_female_pop_singers,Lily Elise,['deep talent show']
