Id,Label,timeset,frequency,type,modularity_class,pageranks,eigencentrality
Ana_Free,Ana_Free,,2,Source,10,0.00003,0.020854
Dave_Barnes,Dave_Barnes,,5,Source,45,0.000059,0.0226
Dan_Bejar,Dan_Bejar,,2,Source,149,0.000029,0.001205
Bobby_Jameson,Bobby_Jameson,,5,Source,149,0.00006,0.029417
Ariana_Savalas,Ariana_Savalas,,5,Source,47,0.000049,0.002366
Carey_Willetts,Carey_Willetts,,1,Source,10,0.000019,0.000545
C._P._Spencer,C._P._Spencer,,2,Source,62,0.000028,0.012965
Patrice_Rushen,Patrice_Rushen,,9,Source,62,0.000091,0.029877
Eva_Everything,Eva_Everything,,1,Source,149,0.000018,0.00129
Alex_Tumay,Alex_Tumay,,7,Source,149,0.000079,0.031515
Larry_Garner,Larry_Garner,,2,Source,47,0.000034,0.000322
Bobby_V,Bobby_V,,2,Source,62,0.000031,0.012594
Doc_Neeson,Doc_Neeson,,4,Source,149,0.000046,0.005668
Dan_Seals,Dan_Seals,,2,Source,9,0.000031,0.007807
Sacha_Distel,Sacha_Distel,,3,Source,47,0.00004,0.02505
MickDeth,MickDeth,,6,Source,31,0.000058,0.007948
Melody_Thornton,Melody_Thornton,,2,Source,62,0.000029,0.020482
Rik_Waller,Rik_Waller,,1,Source,62,0.00002,0.012594
Leslie_West,Leslie_West,,4,Source,31,0.000044,0.014381
Cody_Canada,Cody_Canada,,4,Source,143,0.00005,0.009925
Krayzie_Bone,Krayzie_Bone,,4,Source,90,0.000044,0.005272
Earl_Slick,Earl_Slick,,4,Source,149,0.000044,0.009627
John_Stowell,John_Stowell,,1,Source,47,0.00002,0.004197
Claude_McKenzie,Claude_McKenzie,,1,Source,10,0.00002,0.004547
Geraint_Jarman,Geraint_Jarman,,5,Source,84,0.000055,0.014519
Mandy_Ventrice,Mandy_Ventrice,,1,Source,62,0.00002,0.012594
Dean_Menta,Dean_Menta,,1,Source,31,0.000017,0.000706
Billy_Ocean,Billy_Ocean,,4,Source,84,0.000047,0.026245
Pedro_Caparros_LÃ³pez,Pedro_Caparros_LÃ³pez,,3,Source,10,0.00004,0.008765
Bruce_Welch,Bruce_Welch,,1,Source,31,0.000018,0.00034
Mushtaq_Omar_Uddin,Mushtaq_Omar_Uddin,,6,Source,9,0.000069,0.030653
Keith_Morris,Keith_Morris,,1,Source,149,0.000018,0.000644
Gladys_Moncrieff,Gladys_Moncrieff,,2,Source,50,0.000032,0.000627
Elmore_James,Elmore_James,,1,Source,47,0.000019,0.003835
Stephen_Jackson,Stephen_Jackson,,4,Source,84,0.000044,0.007142
SL_Jones,SL_Jones,,1,Source,90,0.000022,0.004706
Charlie_Farren,Charlie_Farren,,2,Source,10,0.00003,0.020854
Luther_Rabb,Luther_Rabb,,2,Source,10,0.000026,0.000798
Duncan_Browne,Duncan_Browne,,4,Source,31,0.000048,0.025989
Saint_Saviour,Saint_Saviour,,1,Source,10,0.000019,0.000634
Larry_Sparks,Larry_Sparks,,1,Source,143,0.00002,0.000736
Charlton_Hill,Charlton_Hill,,1,Source,10,0.000019,0.00826
Helen_Shapiro,Helen_Shapiro,,2,Source,62,0.00002,0.012594
Glen_Hansard,Glen_Hansard,,6,Source,10,0.000065,0.021037
Caroline_Costa,Caroline_Costa,,1,Source,62,0.00002,0.012594
Marco_Marinangeli,Marco_Marinangeli,,6,Source,50,0.000069,0.034036
Katrina_Parker,Katrina_Parker,,3,Source,10,0.000038,0.018304
Tommy_Shaw,Tommy_Shaw,,4,Source,31,0.000045,0.00639
Debbie_Jacobs,Debbie_Jacobs,,1,Source,62,0.000018,0.000844
Amy_Sky,Amy_Sky,,2,Source,62,0.000033,0.019525
Boris_Lumbana,Boris_Lumbana,,3,Source,62,0.000038,0.013168
Geoff_Berner,Geoff_Berner,,2,Source,143,0.00003,0.004694
